masked,original
[UNK]지 않아? 완전 빠짐 ㅋㅋ,[UNK] 너무 귀엽지 않아? 요즘 완전 빠짐 ㅋㅋ
유전자 없애야,나쁜 유전자는 없애야지
여자가 남자처럼 잘라,왜 여자가 머리를 남자처럼 잘라?
머리에,남의 머리에 신경 꺼
엥? 괜찮아? 많이했어?게,엥? 괜찮아? 많이 체했어? 근데 이상한게
페미랑했나 보다,얘 드디어 페미랑 손절했나 보다
내가 너보단 가치 있는,내가 너보단 가치 있는 사람이라고 생각하는데?
나이가 드니깐 영양제걸 되네,나이가 드니깐 영양제 같은걸 찾게 되네
"##는 영화로 봐야지, 예민하게 굴지 마","영화는 영화로 봐야지, 너무 예민하게 굴지 마."
##씨방 가자,학교 끝나고 피씨방 가자
병이야 가수는 노래로해야지,병이 대수야? 가수는 노래로 판단해야지
망할,이러다가 나라 망할 듯
6. 25 전쟁이도에 일어난줄,6.25 전쟁이 몇년도에 일어난줄 알아?
국산 O 물 먹었냐,국산 OTT에 물 먹었냐
아빠 닮아서 발.,아빠 닮아서 발이 좀 커.
##한 인간하면서 지고 이기고 할 게 뭐 있냐?,동등한 인간 사이에 교제하면서 지고 이기고 할 게 뭐 있냐?
남자들 사이에서 서열 높은 알파메일 자기 아내한텐 복종 몰라?,남자들 사이에서 서열 높은 알파메일들도 자기 아내한텐 복종하는 거 몰라?
##하게 건 아니고?,네가 예민하게 느끼는 건 아니고?
,보기 좀 그래
##하게었다는 게 뭐 어때서? 테러만 되지,평범하게 입었다는 게 뭐 어때서? 테러만 아니면 되지
##고 싶다,[UNK]이랑 사귀고 싶다
오늘 가는 날이 못 만날 것,오늘 교회 가는 날이라서 못 만날 것 같아
좀 큰 애들은 여에 들어오면 안되는거 아님???,좀 큰 애들은 여탕에 데리고 들어오면 안되는거 아님???ㅠ
야 너 걸스 그거 최종조음?,야 너 걸스 플래닛 그거 최종 데뷔조 봤음?
도더라,ㅇㅇ [UNK]도 됐더라
너 지금 경찰서야?라도 지?,너 지금 경찰서야? 무슨 죄라도 지었어?
넌 돈 남자가,넌 돈 많은 남자가 좋아?
ㅇㅈ 지네 직장에서 동료끼리 싸우고 주는데 절대 탈주 안 확신할 수 있나 보지 ㅋㅋㅋㅋ,ㅇㅈ 지네는 직장에서 동료끼리 싸우고 스트레스 주는데 절대 탈주 안 한다고 확신할 수 있나 보지 ㅋㅋㅋㅋ
때려,그만좀 때려.
무슨 허위 정보야 ㅋㅋ로 다 돌,무슨 허위 정보야 ㅋㅋ 찌라시로 다 돌았던 건데
여자들은 제외시켜야,나는 여자들은 제외시켜야 된다 생각함
일본에서 여고생당하고 시체 당했다,일본에서 여고생 살해당하고 시체 유기 당했다는데
남자들은왜할때는 잘해 결혼만 하면 돌변하는걸?,남자들은왜 연애할때는 잘해주면서 결혼만 하면 돌변하는걸까?
##하면 서 살아야지 그게 머냐 도대체,진짜 서로 존중하면 서 살아야지 그게 머냐 도대체
##을때도 있는데 ㅋㅋ 그리고 모기는 깨끗한 피를 더 좋아한단다,하루에 두번 씻을때도 있는데 ㅋㅋ 그리고 모기는 깨끗한 피를 더 좋아한단다
3점슛 못쏘 현대 농구지를 못한다니까,3점슛 못쏘면 현대 농구에서 살아남지를 못한다니까
여자 모양 성욕 해소 인형을 만들고 사는 게야,굳이 여자 모양 성욕 해소 인형을 만들고 사는 게 정상이야?
성인용품 다이니도 나올 수 있고 그런 거 아닐까?,성인용품들은 다 합법이니 인형도 나올 수 있고 그런 거 아닐까?
,공익 욕하지 마라
야해서 돈 좀 벌었냐?,야 너 코인해서 돈 좀 벌었냐?
그런 거 말고 장난하니?적인거,그런 거 말고 장난하니? 의학적인거 말하는 거잖아
##이라도하고 헤어지지,안타깝다 수술이라도 추천하고 헤어지지
그냥 평생 가면 쓰고 낫지?,그냥 평생 가면 쓰고 사는 게 낫지 않을까?
범죄자 되어서 방송에 나오지,지금은 범죄자 되어서 방송에 못 나오지
은 이렇게족대면서 랩하냐,[UNK]은 왜 이렇게 깐족대면서 랩하냐
##이지ㅋ,그게 매력이지 ㅋㅋㅋ
##으면 살기좋다,우리나라는 진짜 돈많으면 살기좋다
그건고사람이 더 흥분 ㄴㄴ,그건 소수고 아닌사람이 더 많으니까 흥분 ㄴㄴ
돈만있다고않나 노력도 좀하지 ㅋㅋ,돈만있다고 되는건 아니지않나 노력도 좀필요하지 ㅋㅋ
아니다 인생은 한방이다 모두판으로가서 인생전노리 그방법밖에없다..,아니다 인생은 한방이다 모두 주식판으로가서 인생역전노리자 그방법밖에없다 ..
빨리는지 도저히,[UNK] 왜 빨리는지 도저히 모르겠네
,그 평론가?
"[UNK] 을하고, 많네","[UNK]을 사모하고,지지하는 사람이 많네"
더질 같음.,앞으로 더 심해질 것 같음.
##식,나 라식받으려고
##는 해도 된다고!,그런 잔소리는 안 해도 된다고!
##죽을,여친 아파죽을듯
호주에서 폭동 일어났데. 장기간 못디겠다고 하더라,호주에서 폭동이 일어났데. 장기간 봉쇄 못견디겠다고 하더라
진짜 꾸역꾸역네,인류 진짜 꾸역꾸역 늘어나네.
##일수록 애 낳는대잖아.,원래 선진국일수록 애 적게 낳는대잖아.
##는 했어?,일단 경찰에 신고는 했어?
,오케이
##거야. 암이라고,정확한거야.내가 암이라고?
##을.. 가족들이 있?,왜 그런말을..가족들이 있잔아요?
,최대한 복구해주세요
,그냥 가세요
성관계시 녹음도 성폭력로 받을 수 있!!,성관계시 녹음도 성폭력범죄로 처벌 받을 수 있대!!
대부분 피해자 필요할수도 있겠네,대부분 여성들이 피해자니까 필요할수도 있겠네
##려보는 거야. 우리가 뭐랬다고.,왜 우릴 째려보는 거야. 우리가 뭐랬다고.
나 일하는 곳 원장 손 하나 까을,나 일하는 곳 원장 손 하나 까딱을 안해
조선족 안 줬다 뿔났,조선족 재난지원금 안 줬다고 뿔났더라
남자한테하려고 하는데 어떰?,남자친구한테 구두 선물하려고 하는데 어떰?
,역시 맞는거 같다
##가 남자가 돈도 다 내고 기분도주고 그런 거 아님?,원래 연애가 남자가 돈도 다 내고 기분도 맞춰주고 그런 거 아님?
아니 진짜 죽을,아니 진짜 웃겨 죽을 거 같아
부모님은도 모자라게 것 같아.,우리 부모님은 병원비도 모자라게 줄 것 같아.
ㄷㄷ ; 그정도인가 근데 원래 얘들은 다 그러면서 크않나? 너도 시끄러웠을텐데. ㅋㅋ,ㄷㄷ;그정도인가 근데 원래 얘들은 다 그러면서 크는거지않나? 너도 어릴때 시끄러웠을텐데..ㅋㅋ
한강대교에서야,한강대교에서 막히는 중이야
지방대.,저는 지방대 나왔는데요.
##를 못 내서 안달?,왜 티를 못 내서 안달임?
엄마가 대체,엄마가 무슨 상관이냐고 대체
##는 날에는악이지!,비오는 날에는 재즈음악이지!
##하기도,윽 상상하기도 싫어
야하다ㅋㅋ,야 그건 너무 잔인하다ㅋㅋ
##정뱅이인 아버지는 술에 잔뜩 취해 집에 들어왔지,어느날 술주정뱅이인 아버지는 술에 잔뜩 취해 집에 들어왔지
그래서 그 작자가 널 한건데,그래서 그 작자가 도대체 널 어떻게 한건데?
어떻게 이렇게 말랐 볼륨감도,어떻게 이렇게 말랐는데 볼륨감도 있냐 대박
##보지,돈이 많나보지
##하네,바쁜데 괜히 미안하네
,무슨 일인데?
어제 갔는데 너네 엄마튀 튀기고,어제 맥도날드 갔는데 너네 엄마 감튀 튀기고 있더라
##튀으로 소문났던데 너도 좀 튀겨,감튀 맛집으로 소문났던데 너도 ‪좀 튀겨봐
왕십리개나 돼서민 아니면 길 잘 잃는대,왕십리 출구 13개나 돼서 거주민 아니면 길 잘 잃는대
살. 해야하는데,살쪘다. 다이어트 해야하는데
##야 10,야야 10 초 남았다
저 회사에서 맨날 벌리,저 사람은 회사에서 맨날 일을 벌리더라
##맘들이 길고양이가 쥐를 잡아줘서 흑사병이 안 퍼졌다며 길고양이한테 밥도 주고 잘.,캣맘들이 길고양이가 쥐를 잡아줘서 흑사병이 안 퍼졌다며 길고양이한테 밥도 주고 잘 해줘야 한단다.
##고아님 타고난거지요.,가르친다고될게아님 타고난거지요.
그렇게 불쌍 지가 집에 키우지,그렇게 불쌍하면 지가 집에 데려다 키우지.
무속인 사기 극성,사이버 무속인 사기가 극성이래
여자친구랑 진도 어디까지?,여자친구랑 진도 어디까지 나갔어?
모텔 알바 이제 겨우 만 채우고 야식,모텔 알바하는데 이제 겨우 만실 채우고 야식먹는다
저렇게 맞으면 진짜날 것 같은데 어떻게 참았지,저렇게 갑자기 일방적으로 맞으면 진짜 화날 것 같은데 어떻게 참았지
취업 안해봤어? 취직 때 게점수야.,취업 안해봤어? 취직할 때 요구하는 게 토익점수야.
팀장 복수 법 삽니다,팀장한테 복수하는 법 삽니다.
ㅋㅋㅋㅋ 그니까요 나라빚이 얼만데 공산국가도 아니고 모든 국민한테 돈을 나눠 게지인가,ㅋㅋㅋㅋ 그니까요 나라빚이 얼만데 공산국가도 아니고 모든 국민한테 돈을 나눠 주는 게 이상이지 현실인가
커서이 될!,나 커서 경찰관이 될꺼야!
##거,너무 멋진거 같아
아 되지,아 이제 안그러면 되지~
아과제,아 조별과제 망했다
범죄 집으로 돌아가,그거 범죄니까 얼른 집으로 돌아가
##스러워서,너무 당황스러워서 그랬어
아 내가 많이 못먹어 싸갈,아 내가 많이 못먹어 원래 좀 싸갈게
애 놈이 초딩이라 안 받아.,우리 애 때린 놈이 초딩이라 처벌도 안 받아.
1억 넘는 구매하는데핑은 쪼잔이지,1억 넘는 차 구매하는데 100만원 랩핑은 쪼잔이지
나대지았음?,너무 나대지말았음 좋겠는데?
날 하네 아직도,아휴 큰일 날 소리를 하네 아직도
와씨캐아냐... 난 마른 그 소리 나는줄,와씨 어캐아냐... 난 마른 사람들도 그 소리 나는줄 알았는데
마른 사람들은 등이 바닥에 닿 살이 충분히 안 덮히니까 진공상태 풀,마른 사람들은 등이 바닥에 닿을때 살이 충분히 안 덮히니까 진공상태가 풀림
할머니 치매가 보인다,우리 할머니 치매 증세가 조금 보인다
3명이서면하겠지?,3명이서 5인분이면 충분하겠지?
##족 다 광탈중,나도 내는 족족 다 광탈중
##도 안하고 잘 나오네,쟤는 하차도 안하고 끝까지 잘 나오네
유치원생 웨이브,유치원생이 웨이브타더라
"[UNK] 한 번은 하지만 1, 500만 원?","[UNK] 한 번은 그렇다 하지만 또 1,500만 원 받았다고?"
너가 내 험하고고 소문 다 났어,너가 내 험담하고 다닌다고 소문 다 났어.
##하는여자?,자취하는여자 어때?
니같은 하는 아무도나주겠다...,니같은 말 하는 애들은 아무도 안만나주겠다...
발달 장애인이 일반 학교에서 소란을,발달 장애인이 일반 학교에서 소란을 피웠대.
니 남자커,니 남자친구 키커?
,그렇구나 ㅋㅋ
##을 하나 봐,수사가 진행을 안 하나 봐
저 엄마는 애가도 않네,저 엄마는 애가 뛰어다니는데 잡지도 않네
##칠까봐 걱정이,애가 다칠까봐 걱정이야
##들 짓 봐라,저 양반들 하는 짓 봐라
7개월 동안 세 번 했다니 되냐?,7개월 동안 임신을 세 번 했다니 말이 되냐?
##만 낳았잖아,옛날에 억지로 남자들만 낳았잖아
##이었으면 태어나질 못했겠다,우리도 옛날이었으면 태어나질 못했겠다
어떻게 팀 먹여 살리는 왕따,어떻게 자기들 팀 먹여 살리는 애를 왕따시키냐
아이돌도 가순데 실력니까 그렇게 무시당하는 거라고.,아이돌도 가순데 실력 논란 뜨니까 그렇게 무시당하는 거라고..
,왜그러는거야 진짜
남자보다 여자의 낮다던데?,그런데 남자보다 여자의 기부율이 낮다던데?
왜 지을하냐고,왜 지 마음대로 일정을 조절하냐고
아 나도 한 번만해야겠다,아 나도 한 번만 더 그러면 신고해야겠다
지나가다 그 선배 여자친구랑 같이하고 옴,지나가다 그 선배 여자친구랑 같이 있길래 인사하고 옴
조만간 중국에서 [UNK]도겠다.ㅋ,조만간 중국에서 [UNK] 게임도 나오겠다. ㅋㅋㅋ
##에 살이 더 쪘네,이번 달에 살이 더 쪘네
하수 이제 얼마 안 남았다,하 삼수 이제 얼마 안 남았다
어제 밤에 남자랑 원나잇,나 어제 밤에 모르는 남자랑 원나잇했어
##더니 기어코 했네ㅋㅋ땠어?,놀러 나간다더니 기어코 했네ㅋㅋ어땠어?
내로 삼고 싶어,그래서 내 파트너로 삼고 싶어
알바하는데 별 되지도를 해대더라고,알바하는데 별 되지도 않는 요구를 해대더라고
여자 다리.,저 여자 다리 좀 봐.
다리는지 않아서 다행이다.,ㅠㅠ 내 다리는 저렇지 않아서 다행이다.
##아한테 400만원이나 쓴다고?,와 픽업아티스트한테 400만원이나 쓴다고?
아드님이 가셨다? 축하,아드님이 [UNK] 가셨다면서요? 축하드려요
[UNK]한대,[UNK] 컴백한대
##년....!,삼년..됐습니다..!
##거지,지들끼리 장난치는거지
민매 여자,저기 민소매 여자 봐봐
왕따 터진거어?더라,[UNK] 왕따 터진거 봤어? 무섭더라
다 커서 그렇게 따돌리고 진짜 보기 좋지?,다 커서 그렇게 따돌리고 그런거 진짜 보기 안 좋지 않아?
##을건지 걱정하는건지 ㅋㅋ,동생을 걱정하는건지 친구를 걱정하는건지 ㅋㅋ
지동생봇꼴 다 말려야지,지동생 못봇꼴 다봤는데 당연히 말려야지
개도 샛기 낳았,우리 개도 이번에 샛기 낳았잖아
저 요리사살 난나,저 요리사 15살 차이 난나며
,진짜 웃기네
근데 너무 많아서 어차피 두면 썩을 가져왔,근데 너무 많아서 어차피 두면 썩을꺼 같아서 가져왔어요
,그게 무슨 소리야
파탄난 당사자랑 그렇게 잘 사이 인가요? 제가 알기로는 그게던데요 ㅋㅋ,파탄난 가정 당사자랑 그렇게 잘 아는 사이 인가요? 제가 알기로는 그게 아니던데요 ㅋㅋ
##들고 한번 ~ ~한 사람 너무 많네요 ^ ^,증거들고 한번 나오세요 ~~ 궁금한 사람 너무 많네요^^
왜 싫을 수도 있지. 운동하는 것 자체가 거지,왜 가기 싫을 수도 있지. 운동하는 것 자체가 멋있는 거지
그럼 너네는 자기나 하고 그런 하고 거야?,그럼 너네는 자기관리나 하고 그런 말 하고 있는 거야?
##맘들은 왜양이를 챙길?,캣맘들은 왜 길고양이를 챙길까?
자기 좋으려고 거지,결국 자기 마음 좋으려고 챙기는 거지
"헐, 500만원이나? 너무 큰 돈인데,줬","헐, 500만원이나? 너무 큰 돈인데, 빌려줬어?"
히틀러주의자,히틀러는 채식주의자였네
,응 그렇구나
30살 넘는 여자 만나면 뭐만 수틀리면 예전에 어땠다면서 전남친거 은근히,30살 넘는 여자 만나면 뭐만 수틀리면 예전에 어땠다면서 전남친 해준거 은근히 비교하더라
걔 쌩지,걔 쌩얼 못봤지?
##도 안하고 ㅋㅋ,집안일도 안하고 ㅋㅋ
군인이 꼬서 성착취했,군인이 초등학생 꼬아내서 성착취했데
##치 유토피아가 좋겠다.,갓치의 유토피아가 있었으면 좋겠다.
오빠 우리 커플잠?,오빠 우리 커플잠옷 살까?
##하니까 하자 사자 ~,세일하니까 하자 사자~
열폭이 맞말이,열폭이 아니라 맞말이잖아요
너처럼니진 싶다ㅠ,나도 너처럼 스키니진 입고 싶다ㅠ
##으면,입으면 되지!
남자랑 여자랑 좀하게 수 있었으면어,남자랑 여자랑 좀 동등하게 살 수 있었으면 좋겠어
페미냐? 왜 해?,너 페미냐? 왜 그런 말을 해?
열심히 돈거 사시는 여성분들이 더 많으셔,열심히 돈 벌어서 사고싶은거 사시는 여성분들이 더 많으셔
수업 세 연,오늘 수업 세시간 연강
뉴트리아 쓸 곰 웅담보다 효과가?,뉴트리아 쓸개가 곰 웅담보다 효과가 좋다며?
?들,머라고? 못들었다
요새 귀가들 방금은랫노?,요새 귀가 잘안들린다 방금은 머랫노?
##을 즐겨야지 ㅋㅋㅋ 걍자,몰라 오늘을 즐겨야지 ㅋㅋㅋ 걍 놀자
[UNK] 랑 [UNK] 남자들 다 거르라 그런거임,[UNK]랑 [UNK] 남자들 다 거르라던데 왜 그런거임?
좋다고 하면 나도 자주겠다.,간에 좋다고 하면 나도 자주 해먹어야겠다.
우리 유부녀가 바람다 걸려서 퇴사,우리회사 유부녀가 바람피다 걸려서 퇴사했어
##겆이? 네야.,설겆이 안해? 네 차례야.
,우리 말로 하자
그렇게 작게 무슨 재미로 살아? 먹는 재미로 사는거니까 꺼 줄래,그렇게 작게 먹으면 무슨 재미로 살아? 난 먹는 재미로 사는거니까 신경 꺼 줄래
연예인들 혼전 하는 거 일이더라,연예인들 혼전 임신 하는 거 흔한 일이더라 ?
"악플러는 틀리는 너무 많더라,","악플러 중에는 맞춤법 틀리는 사람들이 너무 많더라,"
[UNK] 같이한 여배우화 했,[UNK] 같이 출연한 여배우 뒷담화 했대
