masked,original
이땅라도?,아줌마가 이땅 주인이라도 되요?
골수가 망했네,나는 골수가 이건 망했네
제발하기 전에 거울부터 좀 봐라,제발 말하기 전에 거울부터 좀 봐라..
,나도 모르겠어
[UNK] 는라도 받아서 뇌물냐?,[UNK]는 1원이라도 받아서 뇌물죄냐?
손가락도 치겠다,손가락 아파서 타자도 못 치겠다
[UNK] 다음 주에 왕따하고 시작하겠지,[UNK] 다음 주에 또 왕따 아니라고 부인하고 시작하겠지
장애인야.,그거 장애인 차별 발언이야.
##을 심각하게 할 것 같아.스러워서 그래.,고민을 심각하게 해봐야 할 것 같아. 혼란스러워서 그래.
##들인지 모르겠어,도대체 뭔 소리들인지 모르겠어
[UNK] 이 [UNK]했,[UNK]이 [UNK]전대통령 평가했더라
이 물건 어디서,이 물건 어디서 만든 거야?
,잘 모르겠는데?
멍청하다는,내가 멍청하다는 거냐?
##름이지ㅋㅋ 왜 열심히 하냐?,뭐 듣기나름이지ㅋㅋ 왜 열심히 하냐?
남자들은 진짜 다생겼다,서양 남자들은 진짜 다 잘생겼다
무지만 기꺼이를 쏟잖아,무보수지만 기꺼이 자기 에너지를 쏟잖아
땡큐는 게임 회사 다 망하는 건데,땡큐는 무슨 우리나라 게임 회사 다 망하는 건데
옆에 [UNK] 보다가 한씩 던지.,옆에 [UNK] 눈치만 보다가 한 마디씩 던지던데.
이 착,이 남자 되게 착해
,착하면 뭐하니
160에 80키로인데 사귈 수 있을까요?,저 키 160에 80키로인데 남친 사귈 수 있을까요?
,그러게 말이야.
저도 잘데 제가 드릴게요.,저도 커피 잘 타는데 제가 타 드릴게요.
,누가 그러니?
##지 너무되서 좀이 쑤,안간지 너무 오래되서 좀이 쑤시네
어떤 직장에서 상사가 여직 몸을대.,어떤 직장에서 상사가 여직원의 몸을 만졌대.
,장난 아니지.
"여가부 성매매 여성은 피해자, 매수한 남성은 범죄자로버렸네.","여가부에서 성매매 여성은 피해자, 매수한 남성은 범죄자로 규정해버렸네."
##이랑 합의 하에 영상 찍어서 돌려,남친이랑 합의 하에 영상 찍어서 돌려본거래
##질 열심히 하고?,[UNK]덕질 열심히 하고 있냐?
코로나 열심히 온라인으로질 중이다,코로나 때문에 열심히 온라인으로 덕질 중이다
미성년자 딸 두 200 추행,미성년자 딸 두 명을 200차례 추행?
##시키고 낙태대,임신시키고 낙태까지 시켰대
##면 받을,이쁘면 받을게.
,올라가는데요
조선족 술 자리에 말하는거 들으니 소름끼치,조선족 애가 저번에 술 자리에 말하는거 들으니 소름끼치더라
##이 덜 된,성장이 덜 된 건가?
,요즘 결혼하고 싶어
##친 4명에 너 혼자인 모임에 나가는 게 정상인거라고 생각하냐?,야 너 여사친 4명에 너 혼자인 모임에 나가는 게 정상인거라고 생각하냐?
아니 다 소친구 문제야,아니 다 소꿉친구인데 뭐가 문제야
와 이걸 이렇게 몰아가네 그래 찌질한였네,와 이걸 이렇게 몰아가네 그래 내가 미안하다 찌질한 거였네
이제는 자기 몸을 못 겨눌 엄청난 고도비만 군대,이제는 자기 몸을 못 겨눌 엄청난 고도비만도 군대 가더라
##쩔티비가?,저쩔티비가 뭔지 알아?
,아니 뭔데?
##했었는데 바빴나보네,저녁에 전화했었는데 바빴나보네
##지,겜하느라 못봤지
유치원 교사랑위생사는 전문대 졸업?,유치원 교사랑 치위생사는 전문대 졸업해도 되나?
[UNK] 진짜 너무 웃기지 않아? 병 하는 거 진심인,[UNK] 진짜 너무 웃기지 않아? 병 걸렸다고 하는 거 진심인 듯
할머니가에깎이 신입생으로 입학했,할머니가 대학에 늦깎이 신입생으로 입학했대
?서?,왜? 버스 막혀서?
쟤네 집에서자고 해보자.,그래 쟤네 집에서 술 마시자고 해보자.
##형이하고 잘 취하는 여잔데 ^ ^,내 이상형이 자취하고 잘 취하는 여잔데 ^^
##돌이 담배를 피운다는 소문이 있더라.,근데 그 여돌이 담배를 피운다는 소문이 있더라.
##져있네 이때이 안받나,와 오래 삐져있네 이때이 안받나
한번 삐지면 이애는질,한번 삐지면 이애는 돌아오질 않네
##라 그냥 못사 그런애,헤어지라 그냥 못사귄다 그런애
밖에서 이 정도로 생긴 여자 절대 못 찾는 웬질,밖에서 이 정도로 생긴 여자 절대 못 찾는데 웬 평가질?
"[UNK] 기껏 뽑아 놨더니,스럽다","[UNK] 기껏 뽑아 놨더니, 너무 실망스럽다"
했어도 됐는데 왜 해침?,말로 했어도 됐는데 왜 고양이를 해침?
그딴 캣맘도 페미도 늘어난 거.,그딴 소리 하다가 캣맘도 페미도 늘어난 거 아님.
##져!,세상이 갈수록 무서워져!
가슴 사이 손바닥으로는거?,그거 가슴 사이 손바닥으로 누르는거 맞지?
사형안함?,사형 왜 부활안함?
,내말이.
.. DNA 자체가,헐.. DNA 자체가 그런거야?
내가 뭘? 버릇없게,내가 뭘? 버릇없게 안했는데.
딴따라가,딴따라가 뭐야?
범죄자 머그샷 보고 잘생겼다고 좋아하는 좀 것,범죄자 머그샷 보고 잘생겼다고 좋아하는 건 좀 아닌 것 같은데
생긴 게 아니잖아 ㅋㅋㅋ,잘 생긴 게 죄는 아니잖아 ㅋㅋㅋ
저런 범죄자에게 잘생겼다고 빠져드는 여자들이적이다,저런 범죄자에게 잘생겼다고 빠져드는 여자들이 있다는게 충격적이다.
##고 싶은?,헤어지고 싶은 이유가 뭔데?
여사친이랑하지랬더니 몰래하는거야,여사친이랑 연락하지 말랬더니 몰래 연락하는거야
그래서 누구냐니까 남자로 거짓말,그래서 누구냐니까 남자인 친구로 거짓말하더라
사정이있었긴한데. 아 그래도 짜증나 이게뭐야 괜히했어,사정이있었긴한데..아 그래도 짜증나 이게뭐야ㅠㅠ 괜히준비했어
##은 낮아도 온라인에서력 세면 잘 거 아닌가?,시청률은 낮아도 온라인에서 파급력 세면 잘 나가는 거 아닌가?
중국은 먹어야 함,중국 음식은 안 먹어야 함
##된 그런 중국 더러우려나?,주방 오픈된 그런 중국집도 더러우려나?
77가,77 사이즈가 있어?
어. 완전이신인가?,어. 완전 체중이 많으신 분인가?
,심각하게 많지.
어물전대,시장에서 어물전 40년 하셨대
내가 비위가서 생선듣자마자 나온,내가 비위가 약해서 생선얘기듣자마자 나온말이야
무례 빨리는편이 좋겠다,무례한건 빨리 고치는편이 좋겠다
부모님 속 썩히고라도 한 번 해봐라,부모님 속 그만 썩히고 알바라도 한 번 해봐라.
마누라는 말을안해요 제세여,마누라는 말을안해요 제 지시에 따르세여
##들이하니까 현역판정 넓혀서 공익가야할사람도 현역보낸다,현역들이 부족하니까 현역판정 넓혀서 공익가야할사람도 현역보낸다더라
세상에서 [UNK] 가,나는 세상에서 [UNK]가 제일 부러워
낳아주신 것만으로도하다고드려도잘라,낳아주신 것만으로도 감사하다고 말씀드려도 모잘라
##들은 부모님은 얼마나시겠냐.,그런말들은 부모님은 얼마나 마음이 아프시겠냐.
난 그래도 돈 게 훨씬 나을 거 같은데?,난 그래도 돈 많고 인기 많은 게 훨씬 나을 거 같은데?
아니 남의 집 딸한테 모시라고시,아니 왜 남의 집 딸한테 모시라고 난리시냐
"흠좀무... 물론 사실은 아니겠지, 그만큼 크단 얘기지.","흠좀무... 물론 사실은 아니겠지만, 불신이 그만큼 크단 얘기지."
왜 못 가고? 참으면 방광에다 빨리 가라,왜 못 가고 있어? 화장실 참으면 방광에 안좋다 빨리 가라
##가 낮에는 더가 밤에는 좀하네?,날씨가 낮에는 더웠다가 밤에는 좀 쌀쌀하네?
##를 바보로,시청자를 바보로 아나.
거랑 멍청한 것도 못하겠어?,내가 착한 거랑 멍청한 것도 구분 못하겠어?
간통죄 없어졌다고 불륜들이 더 당당,간통죄 없어졌다고 불륜 커플들이 더 당당해진 듯
내가 또 마시면 사람이 아니다,내가 또 술 마시면 사람이 아니다.
ㅇㅇ 쳐서먹음 ; ;,ㅇㅇ 너무 심하게 쳐서 충격먹음;;
##하려고ㅋㅋ,그래서 금주하려고ㅋㅋ
너네 아빠는 일니?,너네 아빠는 무슨 일 하시니?
ㅇㅇ 트럭하셔,ㅇㅇ 매일 트럭 운전하셔.
[UNK] 지겨 [UNK] 쓸,[UNK] 언제까지 지겨운 [UNK] 쓸 거냐
생각이 없어서 ㅜㅜ,난 아무 생각이 없어서 불안하다 ㅜㅜ
진짜 현실감각 제로인 맞음,진짜 현실감각 제로인 판결 맞음..
"맞네, 오늘 왔.끕했겠다.","맞네, 오늘 비 왔잖아. 끕끕했겠다."
함몰인게 콤플렉스...,나 함몰인게 콤플렉스야...
##이겠다,음 확실히 고민이겠다
와 저을같이 정말 열심히 다니는구나.,와 저 친구는 수영을 매일같이 정말 열심히 다니는구나.
대박 너랑하는 여자가?,대박 너랑 연애하는 여자가 있다고?
야 너무 그렇게하지마 찐.,야 너무 그렇게 의심하지마 찐사랑임.
사람 알아보 이건 연이지,사람 잘 알아보는거 이건 연륜이지
맞아는 게 답이지,맞아 그냥 헤어지는 게 답이지
##해 사고라,조심해 사고날라
망한 건 모두의 것 알지?,망한 건 모두의 책임인 것 알지?
너 차 거지?,너 내일 차 끌고 올 거지?
"##가 고장나서 그래, 금방 고칠.","샤위기가 고장나서 그래, 금방 고칠 거야."
재인거 같은데 술 담배 하네. 저거 신고해야하는거 아닌가?,재네 고등학생인거 같은데 술 담배 하네.. 저거 신고해야하는거 아닌가?
음식 만들고 바로 뚜껑 덮 발암이 음식안에 스며든,음식 만들고 바로 뚜껑 덮으면 발암물질이 음식안에 스며든대
##도 벗겨진거 쓰면 발암물질 나온다?,코팅펜도 벗겨진거 쓰면 발암물질 나온다며?
야 진정한 발암물질,야 진정한 발암물질은 따로 있지
그리고 수준이 인신공격이랑 비난 감당하라고 하는 게ㅋ 어이없어서 웃음도 안 나와,그리고 사과 수준이 아니라 인신공격이랑 비난 감당하라고 하는 게 ㅋㅋㅋ 어이없어서 웃음도 안 나와
여자가 머리 뭔 40대 댓글이 이렇게 많냐,여자가 머리 자른 기사에 뭔 40대 남자들 댓글이 이렇게 많냐
,인정이다 완전
##를 쏟았으니비를 드릴게요.,제가 음료를 쏟았으니 세탁비를 드릴게요.
아니요. 때린게요. 애가 말을 안들어서 혼을,아니요. 때린게 아니구요. 애가 말을 안들어서 혼을 낸거에요
초고도비만 갈 용기가,초고도비만 헬스장 갈 용기가안나.
##이고 운동 좀 한다는 소릴 듣는 오빠 가 할께,운동 중독이고 운동 좀 한다는 소릴 듣는 오빠 가 한마디 할께
오빠 가 좀 알려주 오빠 가 싫어?,오빠 가 운동 좀 알려주는데 왜 오빠 가 싫어?
알바 애들이 이렇게 불친절,알바 애들이 왜 이렇게 불친절하지?
불륜한테 남편 관리 잘하 사람들은 또 뭐냐 지금장이 무너지는 심정일텐데,불륜 피해자한테 남편 관리 잘하라는 사람들은 또 뭐냐 지금 억장이 무너지는 심정일텐데
[UNK]네,[UNK]오늘도 전화 안받네
##져있네,오래도 삐져있네
톨아지 엄청,한번 톨아지면 엄청 오래가
내가 동네 북도 아빠랑 싸우고 나한테 신경질이야,내가 동네 북도 아닌데 아빠랑 싸우고 나면 나한테 신경질이야.
##서 인생 망해서 월북하는 매년 3명씩.,남한에서 인생 망해서 월북하는 사람은 매년 3명씩 있다.
놈들,무서운 놈들
##하냐?,지금 라면 무시하냐?
그럴 수 있죠. 임신하는 사람 뽑는 고용주는 무슨 죄,그럴 수 있죠. 매번 임신하는 사람 뽑는 고용주는 무슨 죄예요?
유난. 백원인가 이백원 올랐던디?이지,유난이라니.. 백원인가 이백원 올랐던디? 대박이지
여러 번 쳐서 그런 듯,하도 사고를 여러 번 쳐서 그런 듯
##로운 자세로겠지,여유로운 자세로 기다리겠지
족발,나는 족발 먹고 싶은데
송은 손이 거칠거칠,송 사원은 손이 거칠거칠하네
여자은 살집이,저 여자 모델은 살집이 있네
살집이 여자가 좋,나는 살집이 있는 여자가 좋더라
살집이 여자가?,왜 살집이 있는 여자가 좋아?
[UNK]냐?,[UNK]은 뭐하는 곳이냐?
##하다 결혼하고 사는거지,다 이렇게 연애하다 결혼하고 사는거지
,그러게 말이야
야지겠는데?,야 상처 이거 흉지겠는데?
##려고 하는 거 아님?,분탕 칠려고 하는 거 아님?
전통 거지,전통 같은 거지 뭐.
개들,개들 너무 불쌍해
,와 미쳤다 진짜
어 대머리엔 없는 거,어 대머리엔 효과가 없는 거였어?
여자애가 저렇게 찬 거 마시고 그러면 몸.,여자애가 아침부터 저렇게 찬 거 마시고 그러면 몸 망가지는데.
건강 걱정하는 건 좋은데 여자애가?,건강 걱정하는 건 좋은데 거기서 왜 여자애가 나와?
,그게 가능하냐
? 빨리는데? ^ ^,아닌데? 완전 빨리 끝났는데?^^
##에 여자 밖에하지 않겠어?,스터디에 여자 밖에 없는데 불편하지 않겠어?
##을거 같아,응응 괜찮을거 같아
나는어 너랑 하고 싶어서 ㅎㅎ,나는 상관없어 너랑 같이 스터디 하고 싶어서 ㅎㅎ
##할 때 좀으면 좋잖아,좋게 이야기할 때 좀 알아들으면 좋잖아
"못 구하면 못 구한다고,오면 부작용으로 죽는다고에 춤을 춰야 하죠?","못 구하면 못 구한다고, 구해오면 부작용으로 죽는다고 어느 장단에 춤을 춰야 하죠?"
##베 싫은데 더 까불,에베베 싫은데 더 까불건데
00년생 BJ가스로 연수입원을 번대 허허 …,00년생 BJ가 섹시댄스로 연수입 2억원을 번대 허허…
맛있고 예쁜도 많은데 성기를 누가 굳이 먹나,맛있고 예쁜 쿠키도 많은데 성기모양 쿠키를 누가 굳이 먹나
얼굴이했냐,얼굴이 왜 이렇게 상했냐
야 너버릇이 그게 뭐니! 그리고 선생님 쥐꼬리 만하지 않!,야 너 말버릇이 그게 뭐니! 그리고 선생님 월급 쥐꼬리 만하지 않거든!
##보다 더 못한 거.,아니 평소보다 더 못한 거 같아.
##한테 저런 하면 선처해 줄 있을지 생각이나 하고 댓글 달았으면 함,본인한테 저런 말 하면 선처해 줄 수 있을지 생각이나 하고 댓글 달았으면 함
AI가 전화상도 하고 치매선별도더라,요즘은 AI가 전화상담도 하고 치매선별도 해준다더라
##객도 생성될것 같던데?,AI고객센터도 생성될것 같던데?
##들은 전화로 욕설도 듣고 희롱도 당한다 생겼으면 좋겠다.,상담원들은 전화로 욕설도 듣고 희롱도 당한다던데 빨리 생겼으면 좋겠다.
##짓을 하는거지.,가족이 아니니까 그런짓을 하는거지.
여기에 로리도,여기 사이트에 로리사진도 있네
받았으면 여자치고 잘하네,사격 만점 받았으면 여자치고 잘하네.
"국가 암진 같은거 자꾸 하라고, 그냥 죽을려고.","국가 암검진 같은거 자꾸 하라고 오는데, 걸리면 그냥 죽을려고."
ㅇㅇ 같은.,ㅇㅇ 나도 같은 생각임.
암은 좀 빵빵하게 들어놔라,근데 암보험은 좀 빵빵하게 들어놔라.
##같은 애들이 효도할 일이 있겠노.,우리같은 애들이 현실적으로 효도할 일이 뭐가 있겠노.
남자 두고 다른냐,남자친구 두고 다른 남자를 만나냐
나 옛날에 니 전남친이랑 니거난다,나 옛날에 니 전남친이랑 니랑 있던거 기억난다
##해라 안꺼낼,진정해라 얘기 안꺼낼게
##을 것도 아닌데 뭘 기대하는 거지?,내가 대학을 가는 것도 아닌데 뭘 기대하는 거지?
대학생 갖는트라는 게 그래도 아직 거지?,대학생만이 갖는 메리트라는 게 그래도 아직 있는 거지?
그게 여자인 거랑임,그게 여자인 거랑 무슨 상관임?
##줘 만들어주면 더 좋고,자장면 시켜줘. 만들어주면 더 좋고
[UNK] 아 [UNK]했냐,[UNK]아 왜 [UNK] 사랑을 거절했냐
##까지건 축복이네,하긴 애까지 생긴건 축복이네
,나도 결혼하고 싶어
##라 힘들어죽겠는데,가뜩이나 출근시간이라 힘들어죽겠는데
치마에 스타킹 신은 여자들 스타킹 흘러내리면 벽족으로 돌아서서거야,치마에 스타킹 신은 여자들 스타킹 흘러내리면 왜 벽족으로 돌아서서 올리는거야?
##입 같애,옷을 잘입는거 같애
회사 출근 첫 날에 탈하고 애색 하고 가는 거 가능?,회사 출근 첫 날에 탈색하고 애쉬염색 하고 가는 거 가능?
맞으니까 기절하듯 들,그거 맞으니까 기절하듯 잠이 들더라
##이랑 같은거 인생 끝날수도 있어.,그거 마약이랑 같은거라는데 인생 끝날수도 있어.
##하면해서 그런거이 꿀잠자,운동하면 피곤해서 그런거 필요없이 꿀잠자
[UNK]네,아숔 위기네ᆢ
쟤는 좀 전에는 좋 또 갑자기 짜증이야?,쟤는 좀 전에는 기분 좋더니 왜 또 갑자기 짜증이야?
내 말은 애도 아닌데 다 티를,내 말은 애도 아닌데 왜 다 티를 내냐는거야
##라서 그런걸,갱년기라서 그런걸까?
이거 맞춤법도 다면서 랩을해?,이거 가사 맞춤법도 다 틀리면서 어떻게 랩을해?
##좀 하고 다녔,그러게 관리좀 하고 다녔으면
장기하라 장기빼고 다 있네,장기투자하라니까 장기빼고 다 투자하고 있네
증권사나들이 문제죠,증권사나 유투버들이 문제죠
을근세가 갑근야,을근세가 갑근세 절반이야?
##고 돼 ~,솔직히 부럽다고 해도 돼~
남자 전용 만들자,남자 전용칸도 만들자.
여성제하면서 결혼해서 애낳아 기르는 여자만 출산율 해결될 듯,여성 징병제하면서 결혼해서 애낳아 기르는 여자만 면제해주면 출산율 해결될 듯
하고,나는 열심히 하고 있는데
나 방금 몰카함,나 방금 화장실에서 몰카 발견함
정말? 허리 게 자세었구나...,정말? 나 허리 아픈 게 자세 때문이었구나...
숫 성형 수술하고 잡으면 암 고기가 되는 거야,숫소를 성형 수술하고 잡으면 암소 고기가 되는 거야?
"그러게, 근데 때 암수서 먹지는 않잖아","그러게, 근데 소고기 먹을 때 암수 따지면서 먹지는 않잖아"
##서?,따지면서 먹는데?
범,좋겠네 범생이.
##해서 그런가?,파업해서 그런가?
##캐 티 못내 안달이냐,왤캐 티를 못내서 안달이냐
##많이해서 그런가 보이네,요즘 성형많이해서 그런가 많이 보이네
돈 엄청 벌겠지 인생 현....,연예인들 돈 엄청 벌겠지 인생 현타 온다....
통장하다가도 기분 좋아질 듯,통장 잔고 보면 우울하다가도 기분 좋아질 듯
,공부 좀 해라
,내가 알아서 한다고
아줌마 개 좀.릴까봐 무섭네,아줌마 개 입마개 좀 하세요. 물릴까봐 무섭네
뭐도 할줄 모른다고들이 뭐라고좀 안했으면 좋겠다,뭐도 할줄 모른다고 상사들이 뭐라고좀 안했으면 좋겠다..
뜯어 먹을 했는데 바로 손절겠어.,적당히 뜯어 먹을려 했는데 바로 손절 해야겠어.
남자줄께,딴 남자 소개 시켜줄께
그냥 막 되지캐 정리해서 버려?,박스 그냥 막 버리면 되지 왜캐 정리해서 버려?
할머니들 폐지 가시,할머니들 폐지 들고 가시자나
쳐도 안 걸리면,사고를 쳐도 안 걸리면 몰라.
PD랑 다른 출연자 똥지,PD랑 다른 출연자들만 똥 맞았지.
밤마다 고양이자겠네,밤마다 고양이 소리에 잠을 못자겠네
"[UNK], 기자가 페미하니까 운동에 관해서만라고 자르.","[UNK], 기자가 페미 질문하니까 운동에 관해서만 물어보라고 자르더라."
대통령이 코로나를 퍼드,대통령이 코로나를 퍼드렸냐?
넌 무인도에 딱 하나만 가져갈 수 있다면 가져갈,넌 무인도에 딱 하나만 가져갈 수 있다면 뭘 가져갈래?
60대 머리 치면서 담배사오라고,60대 노인 머리 치면서 담배사오라고 했대
##니깐 서로는거지,아니 친구니깐 서로 물어보는거지
진짜 아예 다른사람인줄 알고 처음에봤음. 지도리긴 한지 더치 하자고 하니까 더치,진짜 아예 다른사람인줄 알고 처음에 물어봤음. 지도 찔리긴 한지 더치 하자고 하니까 더치 하더라
왤케 심함? 살기 맞는데 맞다가 죽을 듯,백신 부작용 왤케 심함? 살기위해 맞는데 맞다가 죽을 듯
역시 [UNK] 인들하네 의무화는 말도 안되지,역시 [UNK]인들은 똑똑하네 백신 의무화는 말도 안되지
야 왜 구걸하는사람한테 돈 주고,야 너는 왜 구걸하는사람한테 돈 주고 그럼?
교통사고 당하고서 군대하지.,교통사고 당하고서 군대 간 사람들만 억울하지.
##하기,내일 출근하기 싫다
버려들이 다 하잖아,대충 버려도 경비들이 다 하잖아
다른 나라에 와서 살 거면 그지,다른 나라에 와서 살 거면 그 나라 법을 따라야지
일이 아침에나 봐주지 그러냐. ㅋ,일이 아침에 끝나나 본데 좀 봐주지 그러냐.ㅋ
,빨리 화장실 가라
속이졌으면 한다,속이 빨리 편해졌으면 한다.
남자는 모쏠 비율이 40프로가 넘는데 여자는 왜밖에 안 되는,남자는 모쏠 비율이 40프로가 넘는데 여자는 왜 5프로밖에 안 되는 거냐?
##들 운전 거 보면 없어,오토바이들 운전하는 거 보면 어이가 없어
저 여자가 먼저 꼬?,저 여자가 먼저 꼬신 거 아냐?
무슨를 쳐ㅎㅎ,제가 무슨 꼬리를 쳐요ㅎㅎ
##을 당한 꼴이 된건가?,내가 지금 거절을 당한 꼴이 된건가?
없는 선니 그런 소심함은 집어 던지심이?,어쩔수 없는 선약이니 그런 소심함은 집어 던지심이 어떨까요?
벌레 닮,벌레를 닮았다고?
지네 나라 테러로 국민 조금한것도 결국 돈고,지네 나라 테러로 국민 조금 죽었다고 전쟁한것도 결국 돈때문이고
##애자는 처음 봤다,나 양성애자는 오늘 처음 봤다
중국인했네,또 중국인 멤버 데뷔했네
좀 빨리면?,메뉴 좀 빨리 고르면 안돼?
##셔서 게,술마셔서 그러는 게 아니야
남자가,남자가 왜?
##J한다고 하더라,유명 BJ 연애한다고 하더라
뒷태 진짜 것,나 뒷태 진짜 이쁜 것 같아
동물 단체랑 은 별인듯 곤충단체가,동물 보호 단체랑 은 별인듯 곤충보호단체가 아니니까
네가 뭐라도 된 것 곤충과 가지고 종 차별이니 뭐니 해도이 다른 건 어쩔 수 없어,네가 뭐라도 된 것 마냥 곤충과 동물을 가지고 종 차별이니 뭐니 해도 관할이 다른 건 어쩔 수 없어
,북한 또 난리네
##ㅋ 맞을만하지,ㅋㅋㅋ그건 맞을만하지
나 완전 ㅜㅜ면 소원이 없겠다,나 완전 피부과 의사 ㅜㅜ그러면 소원이 없겠다
엉ㅋㅋ 모든 여자들의 꿈 아니야? 남편과술,엉ㅋㅋ 모든 여자들의 꿈 아니야? 의사 남편과 피부시술
##학은 하는 거냐?,국어학은 무슨 공부를 하는 거냐?
저렇게 맨날 지각하고은이나 먹고 사람도 회사를 다니고,저렇게 맨날 지각하고 점심은 2시간이나 먹고 들어오는 사람도 회사를 다니고
닌 몸통이,닌 몸통이 있냐
처음에 자기가 게이인 줄 알았다가 돌이 있음,처음에 자기가 게이인 줄 알았다가 돌이킨 사람들도 있댔음
대학고 기술배거라고,대학안가고 기술배울거라고 했잖아요
##들한테 선물고 싶은데 뭐 주지,조카들한테 선물 사주고 싶은데 뭐 주지?
"자동차이 얼마나 재밌, 여자든 남자 상관없지","자동차 장난감이 얼마나 재밌는데, 여자든 남자든 상관없지"
돈만 내면 잘못된 게 있어도 알아서 기어야,돈만 내면 잘못된 게 있어도 알아서 기어야 되는 거냐?
저런 건식이,저런 건 기본식이지.
##해서 많이 번 봤어?,코인해서 돈 많이 번 사람 봤어?
,사람들도 참 웃긴다
새벽에 괴성 지르는 애들 보면 너는 생각이냐?없지않어?,새벽에 괴성 지르는 애들 보면 너는 무슨 생각이 드냐 ? 답없지않어?
아에서 짜증나게,아 정말 거래처에서 짜증나게 한다
,아 뭐래는거야
뭐래 ㅋㅋㅋ 코로나 한 되서 중국 망해까 미세먼지 진짜 좋아졌구만,뭐래 ㅋㅋㅋ 지금 코로나 한 1년 되서 중국 망해가니까 미세먼지 진짜 좋아졌구만
