masked,original
아니 ㅋㅋㅋ 지방립대 과을 어케 입냐,아니 ㅋㅋㅋ 뭔 지방사립대 과잠을 어케 입냐
눈치 없다고 까,나 회사에서 눈치 없다고 까였어
아냐 쳐,아냐 평타는 쳐
##신 그렇게 좋아 죽더니.,ㅋㅋ신혼 때는 그렇게 좋아 죽더니.
쟤 기초수급자라,쟤 기초생활수급자라며?
여자가 자발적으로 우리 거야,저 여자가 자발적으로 우리 집에 온 거야
,피해자가 싫다고 했잖아요
우리 목사님은 너같은 애들을 기도하신,우리 목사님은 그래도 너같은 애들을 위해서도 기도하신다
##랑 섞어봤냐,너 외국인이랑 말은 섞어봤냐
괜히 있는 한국 여자들 니 할일이나 해라,괜히 가만히 있는 한국 여자들 욕하지 말고 니 할일이나 해라
##해서 났다.,도박해서 이꼴 났다.
니는수꺼야,하긴 니는 해낼수 있을꺼야
##라도 정신 바짝차 얘들아,이제부터라도 정신 바짝차리자 얘들아.
재기지 ㅋㅋㅋ 대통령이해서 뽑은 줄 아나,도토리 키 재기지 ㅋㅋㅋ 대통령이 완벽해서 뽑은 줄 아나
##랑 얼마나길래,에이 사진이랑 얼마나 달랐길래
그냥 아예 사람이 나왔,그냥 아예 다른 사람이 나왔어.
##게ㅋ,새겨 들을게 ㅋㅋㅋ
##고다 범죄다는 뉴스가 요새 심심찮게 나오네,생활고 시달리다 범죄 저질렀다는 뉴스가 요새 심심찮게 나오네
##네없는거,너도 알고있네 이유없는거
판사는 있는 법을한 건데 대체 뭘했냐?,판사는 있는 법을 가지고 판결한 건데 대체 뭘 잘못했냐?
##도 잘 줘서,점수도 잘 줘서 난 좋음
##릴 거 가겠지.,쫄릴 거 없으면 특검 가겠지.
경제신문파트는 안읽어. 머리가,난 경제신문파트는 안읽어.머리가 아프거든
누구 떳어? 우리 [UNK] 오빠들은 아님!을 얼마나데,누구 논란 떳어? 우리 [UNK] 오빠들은 아님 ! 팬을 얼마나 사랑하는데
소음 때문에 진짜버릴 것,층간 소음 때문에 진짜 미쳐버릴 것 같아
윗 어린애들 거??,윗층에 어린애들 키우는 거 아니고??
##들 더위 피한다고 냉동고 위에 올라가,고양이들 더위 피한다고 아이스크림 냉동고 위에 올라가 있음
##도 열겠는데 어쩌냐.,문도 못 열겠는데 어쩌냐..
,그거는 인정
너는 결혼을 한 게 진짜,와 너는 결혼을 안 한 게 진짜 다행이다
오빠 차에 없는데에 잠깐자,오빠 차에 기름 없는데 주유소에 잠깐 들르자
오빠해 내가 재밋게 놀아줬잖아,오빠 무슨 말을 그렇게해 내가 재밋게 놀아줬잖아
오빠 무슨 내가 돈 오빠 처럼 이야기해,오빠 무슨 내가 돈 때문에 오빠 만나는 것 처럼 이야기해
##까지 안 자고?,이 시간까지 안 자고 뭐해?
[UNK] 보다 더 한,[UNK]보다 더 한 사람이 나올 줄이야
그게 경상도 거,그게 경상도에서 일어난 거였구나
##들만하게 됐네,손자들만 딱하게 됐네
자연스럽게 나오는 그루가 느낌있잖아 ~,뭔가 그 자연스럽게 나오는 그루브가 느낌있잖아~
저 여자가 결혼 전에 남자 알아내는 법을어,저 여자가 결혼 전에 남자 재산 알아내는 법을 유튜브에 올렸어
"동유럽,기라도 했냐ㅋㅋㅋ","동유럽, 러시아 가보기라도 했냐ㅋㅋㅋ"
##하고 가는지도 상사에게 보고 하나요?,퇴근하고 어디로 가는지도 상사에게 보고해야 하나요?
미리미리 수업 끝내는 것도 교수겠냐?,미리미리 수업 끝내는 것도 교수의 덕목 아니겠냐?
2030 세대들 [UNK] 만들겠다,2030 세대들 똘똘 뭉쳐서 [UNK] 대통령 만들겠다
부모님 계실도 수 있나ㅋㅋㅋ,부모님 계실텐데도 이렇게 말할 수 있나ㅋㅋㅋ
이런 막가파 때문에 오히려 [UNK] 떨어진다.,이런 막가파식 글 때문에 오히려 [UNK] 지지율 떨어진다.
요즘 딥페이크 로 야한영상 올리는 생각해,요즘 딥페이크 로 야한영상 올리는 애들 어떻게 생각해 ?
##지만 워킹맘으로 일하면서 살려면 육아는 포기해야,슬프지만 워킹맘으로 일하면서 살려면 정말 육아는 포기해야 된다
어떻게 애랑 커리어 두마리를 다 하냐?,어떻게 애랑 본인 커리어 두마리 토끼를 다 잡으려고 하냐?
이낙연이 음주운전 이력이 사람의 당직 진출을 막겠다고 필연캠프 의원들중에 음주운전 전력이 있는 사람들이 많ㅋㅋ,이낙연이 음주운전 이력이 있는 사람의 당직 진출을 막겠다고 했는데 필연캠프 의원들중에 음주운전 전력이 있는 사람들이 많대ㅋㅋ
##년이 안 바뀔 거야,아마 몇백년이 지나도 안 바뀔 거야
,세상에 정말 안타깝네
밤마다해먹 힐링이 된다잖아,밤마다 저렇게 음식해먹으면서 힐링이 된다잖아
##친 도대체 어떻게 살아왔길래...,[UNK] 전여친은 도대체 어떻게 살아왔길래...
와 진짜 그걸 알고도 덮은 [UNK] 가이다,와 진짜 그걸 알고도 덮은 [UNK]가 보살이다
민주당이 정권하려면 상대당 후보를 [UNK] 로 만드는 게,민주당이 정권 재창출하려면 상대당 후보를 [UNK]로 만드는 게 중요하다
국가대표치곤 피지 별로인,국가대표치곤 피지컬 별로인 듯.
기저질환 있으면 백신 죽어도 된다는,기저질환 있으면 백신 맞고 죽어도 된다는 건가?
선진국 시대는 [UNK] 이 열,선진국 시대는 [UNK]이 이미 열었다.
[UNK] 때해진 건 팩트임 ~,[UNK] 때 한국 제일 유명해진 건 팩트임~
##는 애 나서 괜찮냐?,너네 와이프는 애 낳고 나서 괜찮냐?
와이프 애 나서 뱃살 늘어진 거 보면 진짜,와이프 애 낳고 나서 뱃살 늘어진 거 보면 진짜 괴롭다
내 평생의 성욕이 싹 것,내 평생의 성욕이 싹 사라지는 것 같아
너도 그럼 한 번고 싶다는 거지?,너도 그럼 한 번 가보고 싶다는 거지?
내가 업소 하나 알려줄테니까해봐,내가 업소 전화번호 하나 알려줄테니까 전화해봐
##했냐?,너 취업했냐?
",줄도 부탁할일 하나 있는데 해도 되냐?","미안, 바쁜줄도 모르고 부탁할일 하나 있는데 해도 되냐?"
##보 속 여자들은 전부 똑같이 생겼네,이 섹시화보 속 여자들은 전부 똑같이 생겼네
니네 집 반지하라,니네 집 반지하라며?
,응 맞는데?
##도 사람이 수가 있구나...,반지하에도 사람이 살 수가 있구나...
그럼 못살고 죽,그럼 사람이 못살고 죽겠냐?
##ㅈ 야 박네,ㅁㅈ기사에 야짤 박네
야짤 급발,야짤 급발진 뭐냐
노근이라도 안되지.,아무리 노근본이라도 이러면 안되지.
또 뭔 말도 짓거리야,그건 또 뭔 말도 안되는 짓거리야?
와 무슨 달고 오씩이나 해?,와 여기는 무슨 달고나가 오천원씩이나 해?
중구인 정리해줄 사람이 필요하니까,중구난방인 상황에서 정리해줄 사람이 필요하니까 그렇지
##한 볼터치는?,그 과한 볼터치는 뭐야?
##즙메이업이라는 거야,이게 과즙메이크업이라는 거야
[UNK] 트랜스 인권운동 됐네,[UNK] 트랜스젠더 인권운동가 됐네
다른 사람들은 다 행복 나만 우울 죽고 싶은 것,다른 사람들은 다 행복하고 나만 우울하고 죽고 싶은 것 같아
니네 부모님 월 이 벌,니네 부모님 월 이백 벌지?
노빠 방송이었지 ㅋㅋ,그땐 진짜 노빠꾸 방송이었지 ㅋㅋ
요새에 좀들이 왜 그렇게 많아,요새 매장에 좀도둑들이 왜 그렇게 많아?
##가같지 않은,작가가 예전같지 않은듯
와... 사과 바로 역 하네,와...사과했다가 바로 역고소를 하네
뇌가 가벼운 거야? 열심히 한건데,그게 왜 뇌가 가벼운 거야? 운동 열심히 한건데
신곡이라니 그지 됐어.,신곡이라니 그 곡 나온지 꽤 됐어.
##하느라 잘 안 해서 그런거거든?,공부하느라 인터넷을 잘 안 해서 그런거거든?
예쁜 참 피곤하게 사는,예쁜 애들은 참 피곤하게 사는 것 같아
[UNK] 은 왜 발음 그따위로,[UNK]은 왜 발음을 그따위로 하냐?
너 혐오,너 그거 지역 혐오야
같은 나라 사람들 안 되는,같은 나라 사람들끼리 그러면 안 되는 거잖아
[UNK]들이 [UNK] 까는?,[UNK] 팬들이 자꾸 [UNK] 까는거야?
성추행 이십 고객,명백한 성추행 이십니다 고객님
##세요,그러면 경찰 부르세요
아 나도하고가서 누워있고 싶다,아 나도 퇴근하고 얼른 집가서 누워있고 싶다
애 낳느라 고생 건 안 하고 소리지?,애 낳느라 고생한 건 생각 안 하고 뭔 소리지?
누가 그 딴?,누가 그 딴 식으로 플레이해?
아 나데이에 남자한테 진짜만 받아서 짜증나ㅋㅋ,아 나 발렌타인데이에 남자친구한테 진짜 사탕만 받아서 짜증나ㅋㅋ
너 이제부터 내가 하는 토,너 이제부터 내가 하는 말에 토달지마
저주인공의 행동이 이해가 돼,나는 저 여자주인공의 행동이 이해가 안 돼
##들 내년에는?,대학교들 내년에는 대면 하겠지?
니가 뭐 안서 아무것도 못한거 아니야?,니가 뭐 안 알아보고 기한 놓쳐서 아무것도 못한거 아니야?
성신여대 부실대학으로대,성신여대가 부실대학으로 선정됐대
야 그러면 좀 파인 걸로 다니면 그게 다 여자가 어필하는 거야,야 그러면 옷을 좀 파인 걸로 입고 다니면 그게 다 여자가 어필하는 거야?
너는 그럼 성범죄가 피해자 잘못으로 벌어진다겠다,너는 그럼 성범죄가 피해자 잘못으로 벌어진다고 생각하겠다?
몸을 굴린 거야?,저게 어떻게 몸을 함부로 굴린 거야?
그냥 거지,그냥 사랑하니까 그런 거지
##도 걸 들었냐?,전문가도 모르는 걸 어디서 들었냐?
##끼는 거 하겠다.,저렇게 베끼는 거 나도 하겠다.
돌아간 엄마마,돌아간 우리 엄마 건들지마.
,응 맞아
##돌 결국 자기 잘못 아닌거 밝혀짐?,저 남돌은 결국 자기 잘못 아닌거 밝혀짐?
##들이 [UNK] 몰래 했을 수도,소속사들이 [UNK] 몰래 했을 수도 있지.
##은 질병,도박은 질병입니다.
우리 어린이집에서 제일 학벌,우리 어린이집에서 내가 제일 학벌 좋더라
##빙 생겨서 노동 대체 오긴 하나봐.,서빙 로봇 생겨서 노동 대체점이 오긴 하나봐.
,증거있어요?
연예인 논란 터지면 무조건 여자,남자 연예인 논란 터지면 무조건 여자 탓하네
맞춰서 팬덤 수준도질,시대에 맞춰서 팬덤 수준도 높아질 듯
빠딱이가 뭐,빠딱이가 뭐에요?
. 저랑 오늘 한 하러 가시죠,좋습니다. 저랑 오늘 한 게임 하러 가시죠.
조선족들한테내에서 왕따 당함,나 조선족들한테 직장내에서 왕따 심하게 당함
##인가,고3인가?
,적당히 좀 해라
##으니까 거지,잘 생겼으니까 그런 거지
와 너무 졸리 좀겠어 어디 잘 곳 없나?,와 너무 졸리다 좀 자다가 일어나야겠어 어디 잘 곳 없나?
처음엔 가랑 잘 바랐는데 오히려 깨진 게 나아,처음엔 [UNK]가 쟤랑 잘 되기를 바랐는데 오히려 깨진 게 나아
맞아 보면 무지성으로더라,맞아 가끔 보면 무지성으로 막 까더라
결혼 전에 전애랑했던 애들은 꼭 상례 자리에서 알려줘라 ~,결혼 전에 전애인이랑 동거했던 애들은 꼭 상견례 자리에서 알려줘라~
누구 죽인 죄라도 거니?,동거가 누구 죽인 죄라도 되는 거니?
##해 했나,누가 구제해 달라고 했나
##하면 애는 키우게 할거임,이혼하면 애는 엄마가 키우게 할거임?
##하는 남편한테도 배울건요.,책임회피하는 남편한테도 배울건 없어보여요.
부모님을 욕해,니가 뭔데 우리 부모님을 욕해
생각없어,나 결혼 생각없어
[UNK]냐?,[UNK]은 랩 잘하냐?
요새들어올때마다에 붙어있는데 완전짜증나 ; ; 이런거 불법아냐??,요새 집들어올때마다 문에 전단지 붙어있는데 완전짜증나;; 이런거 불법아냐??
게될까,몰랐다는 게 말이될까
##게ㅋㅋ,솔직히 말하면 봐줄게ㅋㅋ
새가 아니라 태생이,어느 새가 아니라 태생이 그래
예전에는 진짜거 없으면 아무것도 못할정도로 기분 안좋아지고 짜증,예전에는 진짜 단거 없으면 아무것도 못할정도로 기분 안좋아지고 짜증났었어
혼혈인들 한국어 못하는 얘들,혼혈인들 중에 한국어 못하는 얘들 많대
혼혈이면 반만 우리나라,혼혈이면 반만 우리나라 피 아닌가?
이것도 클리 떡한였네,이것도 클리셰 떡칠한 영화였네
[UNK] 를 데리고 이런를 쓴다는 게 돼,[UNK]를 데리고 이런 스토리를 쓴다는 게 말이 돼?
야 좀 변태...,야 그건 좀 변태같아...
##팔 세월호도 그만 좀,오일팔도 세월호도 그만 좀 하자
##지도록 내버려,잊혀지도록 내버려두자
##제이 한번 해보고싶다,아프리카 비제이 한번 해보고싶다.
##으니까 많지,잘생겼으니까 인기 많지
##게 없어서 피부색냐?,깔게 없어서 피부색으로 까냐?
그니까 피부색 까만게,그니까 피부색 까만게 얼마나 매력적인데
2030 여성 ADHD가 4년 동안배었.,2030 여성 ADHD가 4년 동안 7배 늘었대.
사이비한테 걸리는 왜 거냐,사이비한테 걸리는 사람들은 왜 걸리는 거냐?
##ㅋ도 살아보려는데 왜 그러냐,ㅋㅋㅋ 쟤네도 열심히 살아보려는데 왜 그러냐
##서는 다른 태어나게 해주세요,다음생에서는 다른 나라에서 태어나게 해주세요
##ㅋ 냅둬 지들이으면 뭐,ㅋㅋㅋ 냅둬 지들이 하고싶으면 하는거지 뭐
완전 맞말 국민들은 이제 더이상 속지 바보가,완전 맞말 국민들은 이제 더이상 속지 않고 바보가 아니거든요
##배우라고나도 사투리 못하는 배우들,명배우라고 소문나도 사투리 못하는 배우들 많더라
남성사가 강아지했더라,남성 애견 미용사가 강아지 학대했더라
[UNK] 는 안는다 고등학생 같아,[UNK]는 진짜 안늙는다 아직 고등학생 같아
고등학생 같다는 니가 가타부타할게?,내가 고등학생 같다는데 니가 가타부타할게 있나?
저 문제인 거지 지역 얘기가 나오냐,저 사람이 문제인 거지 왜 거기다 지역 얘기가 나오냐
30살 솔직히 정상은 아니지,20~30살 차이가 솔직히 정상은 아니지
저건한테 세금뜯는다는 소리,저건 부자한테 세금뜯는다는 소리인가?
똥꼬 예쁜게이래?,똥꼬가 예쁜게 뭔 소용이래?
정도면 착실하게다 거지.,나 정도면 착실하게 벌어다 주는 거지.
뭔 쟤가 저기서 지금 실력으로나 외모로나,뭔 소리야 쟤가 저기서 지금 실력으로나 외모로나 1위임
##게자겠어. 피곤하다,잠을 깊게 못자겠어. 피곤하다
징징거리는 거라고,징징거리는 거라고 생각하냐?
##들도 코딩,초등학생들도 코딩 배우네
못 치면 도와줄까?,못 치면 우리가 도와줄까?
##보다 낮은 욕하고 싶은,자기보다 낮은 사람을 욕하고 싶은 거겠지
##하네,미국을 정말 찬양하네
##이나 해줘라.,욕하지 말고 응원이나 해줘라.
아니라고 죽으라는 말을 그렇게 하네,자기 일 아니라고 죽으라는 말을 그렇게 쉽게 하네
솔직히 정도껏 받았으면 배줄도 알아야 정상아니야?,솔직히 자기가 정도껏 받았으면 배풀줄도 알아야 되는게 정상아니야?
이제부터 되지 물에 빠지 그러냐..,이제부터 열심히 하면 되지 물에 빠지라 그러냐..
위안부 안하냐?,일본은 위안부 왜 사과 안하냐?
< 007 > 시리즈 개봉가자,<007>시리즈 새로 개봉한거 보러가자
##까지 하고 진짜 잘 팔리나보네,레깅스 회사가 배당까지 하고 진짜 잘 팔리나보네
잘 빤다고ㅋㅋㅋ 급발진?,아니 옷을 잘 빤다고ㅋㅋㅋ 왜 급발진?
나 달부터 [UNK]할,나 다음 달부터 [UNK] 진입할 거임
뭔지도 놈들이 이렇게 많냐 ㅋㅋㅋ,뭔지도 모르면서 시작하는 놈들이 왜 이렇게 많냐 ㅋㅋㅋ
유사인류 아프칸에서 온 사람들은 사람도 아니라는,유사인류라니 아프칸에서 온 사람들은 사람도 아니라는거냐?
왜? 뭔 짓 했는데 진짜질 때 안전이 별 생각하면서 연애해야하나 흉하네,왜? 뭔 짓 했는데 진짜 요즘은 헤어질 때 안전이 별 생각하면서 연애해야하나 흉흉하네
문신 한 애들이 편의점 난리치고대,저기 문신 한 애들이 편의점에서 난리치고 나왔대
직원이 마스크 쓰라 빡대ㅋ,직원이 마스크 쓰라 그래서 빡쳤대 ㅋㅋㅋ
##녀랑 하고싶,일본녀랑 결혼 하고싶어
역시 여자들은 몸매가 다르긴 다르다,와 역시 서양 여자들은 몸매가 다르긴 다르다
그거력 있는 것도 아니면서 막 들이밀지,뭐래 그거 공신력 있는 것도 아니면서 막 들이밀지 마라
[UNK] 이,[UNK]이 야당대표라 걱정이다
자영업자들 우는 소리만 하지말고 먼저생 의무를 다하세요,식당 자영업자들 우는 소리만 하지말고 먼저 청소위생 의무를 다하세요
조선족이랑 중국인이 국내에지고,요즘 조선족이랑 중국인이 국내에 많아지고 있어
"응, 조선족과 중국인과한 범죄율을 어떻게 수 있을까","응, 조선족과 중국인과 관련한 범죄율을 어떻게 해결할 수 있을까?"
연상누나 만나니깐 태워주고 먹을 사주 난 돈 쓸 일이없네 ~ ~,연상누나 만나니깐 차도 태워주고 먹을것도 사주고 난 돈 쓸 일이없네~~
##자고 했을까 궁금하다!! 그치?,누가 사귀자고 했을까 진짜 궁금하다!! 그치?
##하다면 뭐...,너가 행복하다면 뭐...
따위지 뭐,남친 따위 안 사귀지 뭐
,ㅋㅋ 그러든가
한쪽 눈 실명 공익냐?,한쪽 눈 실명이면 공익이냐 면제냐?
한쪽눈 남았네 공익,한쪽눈 남았네 공익이야
병원에서 치료하는척하며 여자했,병원에서 치료하는척하며 여자에게 성희롱했대
여자들은 성희롱대상이야,여자들은 항상 성희롱대상이야?
##게 여자들이지,만만한게 여자들이지
이런 사람들 다른 치료사들도 혐오의 대상이,이런 사람들때문에 다른 치료사들도 혐오의 대상이 되는거아냐
모든 국민들이 가슴 하는 대통령 죽음을 네가 자격은 없어,모든 국민들이 가슴아파 하는 대통령 죽음을 네가 함부로 말할 자격은 없어
왜? 돈 사람 정말 많아.,왜? 돈없이도 행복한 사람 정말 많아.
정신병 있는게 자랑은 숨겨야 할 일은,정신병 있는게 자랑은 아니지만 숨겨야 할 일은 아니라고 생각해요
저거이 기가,저거 반전이 기가 막히더라
그러면 내가이일러를 당해버리잖아,그러면 내가 반전이 있다고 스포일러를 당해버리잖아
"아빠하러, 나침판 챙겨서.","아빠 오늘 낚시하러 , 나침판 챙겨서 가요."
그래부턴 살 하여라,그래 이제부턴 나가서 살도록 하여라
중학생이제이한테 별 700만원어치를어 ㅋㅋㅋ,중학생이 비제이한테 별풍 700만원어치를 쐈어 ㅋㅋㅋ
##ㅋ 쏴놓고 환불해 달라고 그러면 해주,ㅋㅋㅋ 쏴놓고 환불해 달라고 그러면 누가 해주냐
"인간이이라던데 120, 130들도 있으니까 70, 80들도 수두룩하겠지","인간 아이큐 평균이 100이라던데 120, 130들도 있으니까 70, 80들도 수두룩하겠지"
너 같은 경상도가 욕먹는,너 같은 사람들 때문에 경상도가 욕먹는 거야
애를 잡는 게 부모,그런 애를 바로 잡는 게 부모 아닌가
"헐, 공부를 열심히 해서 쳐","헐, 그냥 공부를 열심히 해서 쳐야지 ㅠㅜ"
근데 사실 너무 많아서 컨닝하고 싶 ㅋㅋ,근데 나도 사실 범위 너무 많아서 컨닝하고 싶었어 ㅋㅋ
코스프레나 좋아하는 환장할 수도 있겠는데?,코스프레나 애니 좋아하는 애들은 오히려 환장할 수도 있겠는데?
그거 먹었다가구역질,그거 먹었다가 헛구역질 계속했어
뒷를개를 했는데 그게힘 ㅋㅋ,뒷광고를 60개를 했는데 그게 묻힘 ㅋㅋ
[UNK] 은 하나 사과하고되지고,[UNK]은 발언 하나 사과하고 가야되지 않냐고
경찰 공무원 뽑을 여성 불이익 주는 건해,경찰 공무원 뽑을 때 여성에게 불이익 주는 건 부당해
[UNK] 하는,[UNK] 지지 하는 사람?
[UNK] 을기 [UNK] 을함.,[UNK]을 지지한다기 보다는 [UNK]을 지지함.
[UNK] 은들이 지지해서,[UNK]은 거의 6070들이 지지해서 아쉬움
##들이라도 쥐어 하시나 보네,손자들 용돈이라도 쥐어주려고 하시나 보네
##가면 맞아야 그러지,병원가면 주사 맞아야 하니까 그러지
구걸하는 방법,구걸하는 방법 참 별로다
저희은 개발도상국에서 빈곤을 목표입니다,저희 UN은 개발도상국에서 빈곤을 없애는 것이 목표입니다
1국가당 10하세요,1국가당 10조씩 기부하세요
하는 짓이 뭐 그래요,하는 짓이 뭐 어때서 그래요?
춤도 안추고 걍 편하게 부르는 머129,격한 춤도 안추고 걍 편하게 부르는데 머선129
[UNK] 에가게 종업원 스타일 아니냐?,[UNK]에 나오는 햄버거가게 종업원 너 스타일 아니냐?
그게니 돌려 거지?,그게 정직한 거라니 돌려까는 거지?
[UNK]했네,[UNK] 오디션 프로 2위했네
오빠 많으니까 수도,오빠 인기 많으니까 그럴 수도 있지
##년 연애편지인데 그 시대 감성 너무하다,1950년대 연애편지인데 그 시대 감성 너무 로맨틱하다
##살생 질문 받는다.,30살 취준생 질문 받는다.
남자가 여자한테 다주면서하는거해,남자가 여자한테 다 맞춰주면서 연애하는거 노이해
,나도 알아~
##니 할 없네 또 ㅋㅋ,안다니 할 말은 없네 또 ㅋㅋ
수단과 방법 가리지 않고를 향해 달려가라는 건 당신이 가르친거에요,수단과 방법 가리지 않고 목표를 향해 달려가라는 건 당신이 내게 가르친거에요.
,ㅇㅈ
솔까 군대 가혹행위 가끔 있는 학대나 뭐 그게지.,솔까 군대 가혹행위나 가끔 있는 학대사건이나 뭐 그게 그거지.
너는 곧 갈이라 이런 말을 하는 거지?,너는 곧 일본으로 이민 갈 예정이라 이런 말을 하는 거지?
기자들이 언제부터 이리 바닥,기자들 위상이 언제부터 이리 바닥인거야 안타깝다
어제 뉴스봄?졌,어제 뉴스봄? 축구 또졌더라
일본을 부러워하며 산 세대인데 필요 없다는 통쾌하네,일본을 부러워하며 산 세대인데 이젠 그럴 필요 없다는 말 통쾌하네
##보다 훨씬 깔끔 영부인스럽다,예전보다 훨씬 깔끔하고 영부인스럽다
해도 넌 꼭 밖에 못하니...,말을 해도 넌 꼭 그렇게 밖에 못하니...
얼굴이 모자라서,내 얼굴이 뭐가 모자라서?
##도라는 역대급은 진짜 레전드다,암세포도 생명이라는 역대급 드립은 진짜 레전드다
##한 거 아냐?,이거 여자가 주작한 거 아냐?
너에서 냄새난다,야 너 옷에서 냄새난다
빤거 아니야?,잘못 빤거 아니야?
##릴때리지 그랬냐,말릴때 잘말리지 그랬냐
##할 가치가 없는에 왜 저렇게 열심히하지?,답변할 가치가 없는 청원에 왜 저렇게 열심히 답하지?
##한만명 때문이지 뭐,청원한 35만명 때문이지 뭐
,곱창 먹고 싶다
넌 먹을 생각만 하고 사니,넌 하루종일 먹을 생각만 하고 사니?
먹는 게이니까!,먹는 게 내 유일한 즐거움이니까!
남의 허리를 보면서 출산에 비효율적이라가 굉장히 불쾌,남의 허리를 보면서 출산에 비효율적이라는 멘트가 굉장히 불쾌하네요
게다가 출산 동족 생산...,게다가 출산을 동족 생산이라고 하다니...
도둑질이 나쁘다 안 하는 거랑 마찬가지지,도둑질이 나쁘다는 걸 아니까 안 하는 거랑 마찬가지지
,나도 그래.
한번 하고 말했으면 좋겠어.,뭔가 생각을 한번 더 하고 말했으면 좋겠어.
맞아. 고치 완벽할 듯,맞아. 그것만 고치면 완벽할 듯!
야 나도 한 번까?,야 나도 유튜브 한 번 해볼까?
여자은 원래 저렇게 지들끼리 물어 뜯나,여자 아이돌 그룹은 원래 저렇게 지들끼리 물어 뜯나?
그냥 코로나처럼 생각하는,다들 그냥 코로나 감기처럼 생각하는 듯
자기 가족도 정신 병원에 데 저 사람이 사람이라고?,자기 가족도 정신 병원에 가두는 데 저 사람이 좋은 사람이라고?
유전자는 참하게 진짜 쭉는게,유전자는 참 신기하게 진짜 쭉 이어지는게 보임
##생겼는데 머리 없는,잘생겼는데 머리만 없는 거임
젠더갈등 나발이고 자극 유투브건 당연한거야,젠더갈등이고 나발이고 자극적으로 유투브 뽑는건 당연한거야
왜 거지 때는 정말 활발하잖아,왜 그러는 거지? 신인 때는 정말 활발하잖아
아니야 그냥 때리고,아무것도 아니야 그냥 멍 때리고 있었어
과거 범죄 하나하나 지금 방송에 출연 못 할 늙은들,과거 범죄 하나하나 따지면 지금 방송에 출연 못 할 늙은 스타들 많음
남자가 져통임,남자가 져주면 만사 형통임
##도 진자게 생겼다 저 여자,피부도 진자 좋고 예쁘게 생겼다 저 여자
딱는 오피스 룩도?,저렇게 딱 붙는 오피스 룩도 있음?
내가 [UNK] 이었으면 말 보고 사흘 밤낮으로었다,내가 [UNK]이었으면 이 말 보고 사흘 밤낮으로 울었다
나라가 말세니까 다거지,나라가 말세니까 별 사건이 다 일어나는거지
거북인 실제로 보면 티 많이나,거북목인 사람들 실제로 보면 티 많이나?
응 거북목 그림자만 봐도 티,응 나 거북목인데 그림자만 봐도 티나
라이징라서 팬던 거 같아.,라이징 스타라서 팬이 많았던 거 같아.
돈게 카페는 왜 가냐?,돈 아깝게 카페는 왜 맨날 가냐?
카페에서 거지,카페에서 공부하려고 가는 거지
카페하는 애 치고 열심히 하는 애 없던데?,카페 가서 공부하는 애 치고 진짜 열심히 하는 애 없던데?
술집 직원들 잘생기고 핫,저기 술집 직원들 다들 잘생기고 핫해
