masked,original
##지,내 맘이지.
대학교 비대면 강의를 틀어 딴짓 애초에 대학을 왜 다니는거야?,대학교 비대면 수업 강의를 틀어놓고 딴짓 할거면 애초에 대학을 왜 다니는거야 ?
##기는 ㅋㅋ 그래도 그거라도 해야 뭐라도 되는데 그것조차 학교 왜 다니냐는거지,그렇기는 한데 ㅋㅋ 그래도 그거라도 해야 뭐라도 되는데 그것조차 안하면 학교 왜 다니냐는거지
아 어제더니만 개 부,아 어제 라면 먹었더니만 개 부었네
##은 못참지ㅋㅋ,솔직히 라면은 못참지ㅋㅋ
##으면서 뭔ㅋㅋ,봐라 너도 못참으면서 뭔ㅋㅋ
,말이 좀 심하네
##다고지냐고요ㅋㅋㅋ,그게 숨긴다고 숨겨지냐고요ㅋㅋㅋ
배달는데 여자가네 ; ;,배달 시켰는데 여자가 와서 놀랐네;;
##했으니까 한 번만해줘.,내가 잘못했으니까 한 번만 용서해줘.
##게!,내가 다 고칠게!
담궈야하는데,김치 담궈야하는데 귀찮다
더러운 공장에서 만들어진,더러운 공장에서 만들어진거면 어떡해
대학원이랑하려니맛이,대학원이랑 병행하려니 죽을맛이야
##가 심각하게 아까운,여배우가 심각하게 아까운 조합이네요
##겨서 너무 짜증남,계속 팅겨서 너무 짜증남
운동권이라면 주민등록증이하다,진정한 운동권이라면 주민등록증이 불필요하다.
저는 제가 하고 하면서요,저는 제가 하고 싶은 일 하면서 살게요
사람한테을 던지지,힘든 사람한테 돌을 던지지 마세요
##돌은 자기 관리도 안 하나 봐,저 남돌은 자기 관리도 안 하나 봐.
남자은 통통한 게 ㅋㅋㅋ,남자 아이돌은 통통한 게 매력임 ㅋㅋㅋ
남자라고 거 있냐,남자라고 못할 거 있냐
##도 했는데도? 그냥 학원가서 강습받는게 어때?,저번주에도 했는데 이번주도? 그냥 학원가서 강습받는게 어때?
##지 않냐?? 저정도면 강아지탈을 쓴 사람ㅋㅋ,넘 귀엽지 않냐?? 저정도면 강아지탈을 쓴 사람 아닐까ㅋㅋ
마자마자주는 사람있게해야함,마자마자 그래서 챙겨주는 사람있게 결혼해야함
##ㅋ적,ㅋㅋㅋ적절하노
,무슨일인데?
니 남동생하느라 힘든데 냅두고 너만,니 남동생은 공부하느라 힘든데 냅두고 너만 와
##수록 저녁먹은거 올라오,생각할수록 저녁먹은거 올라오네
촌티는 그게 [UNK] 이랑 뭔야 다 옛날지.,촌티는 뭐고 그게 [UNK]이랑 뭔 상관이야 다 옛날말이지.
,가까이 가지 말자
##족 너무졌어,요즘 노마스크족 너무 많아졌어
##도 알컨으로 [UNK] 하면서 보시,최근에도 알탭컨으로 [UNK]하면서 보시더라구요
알 여은 ㅇㅈ이지,알탭 여캠탭은 ㅇㅈ이지
##는한 거였나,대회중에는 집중한 거였나
나도 31먼저 떠올렸는데 걍 한국인이 지극히임 다음엔 조심해야지,나도 31절먼저 떠올렸는데 걍 한국인이라면 지극히 정상임 다음엔 조심해야지
이제 여자들도 서게더라,이제 여자들도 숙직 서게 된다더라
##즈미 할까?,나 이레즈미 할까?
마르면 이즈미 하면,마르면 이레즈미 하면 안됨?
"괄 알아? 도구인데, 요즘이야","괄사 알아? 마사지 도구인데, 요즘 유행이야"
괄사야? 이거 하면 뭐가 좋아져,오 이게 괄사야? 이거 하면 뭐가 좋아져?
얼굴 이렇게 마사지 얼굴 작아진,이걸로 얼굴 이렇게 마사지 하면 얼굴 작아진대
야 다 했냐?,야 너 어제 과제 다 했냐?
그냥 공부나 하자 혐오적인,그냥 공부나 하자 혐오적인 발언하지 말고
아니 겨우 그거 사람이겠냐,아니 겨우 그거 때문에 그 사람이 그러겠냐
##해라 보고 있기도 안타깝네,빨리 탈출해라 보고 있기도 안타깝네
,어휴 고생이다
야해? 내가 얼마나는지 알아,야 장난해? 내가 얼마나 놀랐는지 알아?
아다,아 쟤 운다.
##지,포기하고 기술 배워야지
얘 춤선 아님 까라,얘 춤선 장난 아님 일단 보고 까라
카페에서? 와 나는 기분 나빠 밖에서는 못겠더라,카페에서? 와 나는 아무리 기분 나빠도 밖에서는 못 싸우겠더라
형사분들 얼굴주고 쟤들게 맞지않나,형사분들 얼굴 가려주고 쟤들 얼굴 보여주는게 맞지않나
"성격 좋고, 매너 좋고, 얼굴도 앵간히 좋겠어","성격 좋고, 매너 좋고, 얼굴도 앵간히 잘 생겼으면 좋겠어"
아니 내가 어딜 봐서 [UNK] 을 닮아. 끼워지마,아니 내가 어딜 봐서  [UNK]을 닮아.. 그렇게 끼워맞추지마
"와, 저 여자 능력도 좋고 잘 것 같아서 정말.","와, 저 여자 능력도 좋고 일도 잘 하는 것 같아서 정말 멋있다."
한번 먹어 싶다고 ; ;,한번 쯤 먹어보고 싶다고;;
헐고와!만큼 시험 결과도 잘 나올거야 걱정하지말고 평소 하던것처럼만 해!,헐 시험 잘보고와! 노력한만큼 시험 결과도 잘 나올거야 걱정하지말고 평소 하던것처럼만 해!
##ㅋ겨 죽겠다,ㅋㅋㅋ웃겨 죽겠다.
##이 오면 벌레를 먹을 거라고,식량 난이 오면 벌레를 먹을 거라고?
ㅋㅋㅋ 맞아 게다가 그 정도 되면 그거 할 거질 듯,ㅋㅋㅋ 맞아 게다가 그 정도 되면 그거 말고도 대체 할 거 많아질 듯
[UNK] 총기 난사 이유가라,[UNK] 총기 난사 이유가 여자친구 없어서라더라
인성 좀 없으면? 성공 그만,인성 좀 없으면 어때? 성공하면 그만 아닌가
지능이 말이,인성은 지능이라는 말이 있어
##었어도 똑같이했을 텐데 ㅋㅋㅋ,보수 정권이었어도 똑같이 규제했을 텐데 ㅋㅋㅋ
,뭔데 나도 보여줘
니네 누나 배우로 데뷔했더라? 나제 놀음,니네 누나 배우로 데뷔했더라? 나어제 깜짝 놀랬음
오 떡 녀석이네,오 떡잎부터 다른 녀석이네
남자 뇌하수체 종양 걸린 환자였,그 남자 뇌하수체 종양 걸린 환자였었대
잡아 당겼다고다,옷을 잡아 당겼다고 주장했단다
사망자가 한명이라도 더 좋은 거 아냐?,사망자가 한명이라도 더 적으면 좋은 거 아냐?
,왜?
아니 오늘 / 방에 좀 갈,아니 오늘 피시/방에 좀 있다가 갈꺼임
남자들은 왜면 전여자들한테 다들 쓰레기라고 하는거야,남자들은 왜 헤어지면 전여자친구들한테 다들 쓰레기라고 하는거야?
일에들어서 꼴이나 당하구.,괜한 일에 말려들어서 이런 꼴이나 당하구.
##지라지만 하네,아무리 피서지라지만 너무 하네
아무리 술에 취해도리가,내가 아무리 술에 취해도 그럴리가 없어
귀신보다 동양이 더 무서운 거,서양 귀신보다 동양 귀신이 더 무서운 거 같음
왕진지한데 ㅋㅋㅋㅋ 반대가 없다 공감,왕진지한데 웃겨 ㅋㅋㅋㅋ 반대가 없다 어느정도 공감해
##도 했고 연인인데 뭐가 어때서?,합의도 했고 연인인데 뭐가 어때서?
거의 뭐 우리네 얘넨ㅋ,거의 뭐 심심하면 우리 건드리네 얘넨ㅋㅋㅋ
그 여성 혐오적 수 있어,그 말은 여성 혐오적일 수 있어.
그래서 네가 그렇게 여성 것일 수도 있어,그래서 네가 그렇게 여성 혐오적인 것일 수도 있어.
갑자기졌다..... 좀 벗어주면?,갑자기 추워졌다..... 옷 좀 벗어주면 안돼?
여기 직원 오빠 잘!,여기 직원 오빠 완전 잘생겼어!
ㅇㅇ게이라고 해도 믿겠다,ㅇㅇ그러게 모델이라고 해도 믿겠다.
청와대 개마리 신문에 난 거어,청와대 개 8마리 신문에 난 거 봤어?
오늘 두 자고 갔는데 진짜 정신이,오늘 두 시간 자고 아르바이트 갔는데 진짜 정신이 없더라
"아니 과제 한다고! 갑자기 줬,,","아니 과제 한다고! 갑자기 과제 많이 줬어,,"
유부남 유부녀가 애까지,유부남 유부녀가 만나서 애까지 생겼데
,어휴 어쩌면 좋아
근데 몰래 하는 떳떳하지 못한,근데 몰래 하는 거면 떳떳하지 못한 거잖아.
음.... 그래 내가 진짜 짓을 뻔했다.,음.... 그래 내가 진짜 큰일날 짓을 할 뻔했다.
,갑자기 뭔 소리야
야 배신당,야 나 배신당했어.
,누구한테?
[UNK] 이 입양한 유기견 됐는지,[UNK]이 입양한 유기견 어떻게 됐는지 알아?
실외기 옆 철장에서 가둬,실외기 옆 철장에서 가둬 키웠대.
##질 뼈만 앙상하게 남았어.,제대로 먹이질 않아서 뼈만 앙상하게 남았어.
하루에 자해시도 하는이나 된,하루에 자해시도 하는 사람이 100명이나 된대
아 맞네 왜 그지,아 맞네 왜 그생각을 못했지?
##는 짧아져서 사고도 없나봐,요새는 군대가 짧아져서 사고도 많이 없나봐
아니야 총기난사 있었?,아니야 얼마전에 총기난사 사건 있었자나?
진짜?던 길 군대인가보다,진짜? 짧던 길던 군대는 군대인가보다
##데 애를으니 애가 고통스러웠겠지,그렇데 애를 그렇게 괴롭혔으니 애가 고통스러웠겠지
,그게 뭔가요?
방구석에서이나 들어,그냥 방구석에서 음악이나 들어
고등학교 때 친구가 벌써 결혼 하다고 하더라 ㅋㅋ 너무게 싶,고등학교 때 친구가 벌써 결혼 하다고 하더라 ㅋㅋ 너무 이른게 아닌가 싶더라
하긴 그거말고는 이렇게 결혼 할 리가 해 ㅋㅋ,하긴 그거말고는 이렇게 빨리 결혼 할 리가 없기는 해 ㅋㅋ
살기 싫은건 너가 누나 여야지,같이 살기 싫은건 너가 아니라 누나 여야지.
ㅇㅈ 얼굴 잘 팬도 많겠다만 먹으면 누구나 듯,ㅇㅈ 얼굴 잘생기고 팬도 많겠다 맘만 먹으면 누구나 이럴 듯
우리나라에 없어저 한다,우리나라에  수능시험   없어저야  한다
나 회사 남자대리랑 카풀하는 여직원인데 다들 내가 상녀된것 마냥 뭐라하네.. 죽을가?,나 회사 남자대리랑 카풀하는 여직원인데 다들 내가 상간녀된것 마냥 뭐라하네.. 이게 죽을죄인가?
고쳐도 적당히지. 실물스러웠던 적이 한두번이 아니다,고쳐도 적당히 고쳐야지. 실물보고 당황스러웠던 적이 한두번이 아니다
다른 나라들은 백신 거부 시위하는데 우리 국민은 양이네,다른 나라들은 백신 거부 시위하는데 우리 국민은 순한 양이네.
차별이 그냥들에 대한 혜택이지,차별이 아니라 그냥 접종자들에 대한 혜택일뿐이지
그게 너도 백신 되지,그게 불만이면 너도 백신 맞으면 되지
진짜 네필리아...,진짜 네크로필리아가 있었구나...
네크로필리아가?,네크로필리아가 뭐야 대체?
그렇게 동성애자들은 혐오하는 거야,넌 왜 그렇게 동성애자들은 혐오하는 거야?
동성애자를 혐오 나처럼 걱정해주지도 않아,동성애자를 혐오하는 사람들은 나처럼 걱정해주지도 않아.
너는 걱정하는 척 하면서 사실은 혐오.,너는 그들을 걱정하는 척 하면서 사실은 혐오하는 거잖아.
,고마운 줄 알아라
##다서긴 왜 우냐?,놀다 왔으면서 울긴 왜 우냐?
아 그 때문에 성폭력하지 시위,아 그 사건 때문에 성폭력하지 말라고 시위하더라
성폭력 남자는 진짜 남자가 아니다라는 인상깊,성폭력하는 남자는 진짜 남자가 아니다라는 문구 인상깊더라
… 난 아주 머먼라고 생각한다,흠… 난 아주 머나먼 미래라고 생각한다
우리도 인도처럼 남자들의이 좋겠다,우리도 인도처럼 남자들의 가치관이 발전했으면 좋겠다
,요즘 미세먼지 심하네
누가 길 고양이한테 활을 쏴서 고양이 크게,누가 길 고양이한테 활을 쏴서 고양이가 크게 다쳤대
여자를하면생김,여자를 그렇게 생각안하면 여자친구생김
##지 어떻게 해주는게 좋은지 알아서 눈치껏 해주길 비라지 말고해줘,뭘 원하는지 어떻게 해주는게 좋은지 알아서 눈치껏 해주길 비라지 말고 말을해줘
눈치줘야지 계속 그러면 죽음,적당히 눈치줘야지 계속 그러면 답답해 죽음
그냥 지들도 뭐를지 같음,그냥 지들도 뭐를 원하는지 모르는 것 같음
애가 너무 산만해서 다른 애들한테 피해를 학교에서 전화어.,우리 애가 너무 산만해서 다른 애들한테 피해를 준다고 학교에서 전화 왔어.
알면 더질 테니까 정신과 받아 봐.,원인을 알면 더 쉬워질 테니까 정신과 상담 받아 봐.
지금 애를 정신병 있는 애 거야,지금 우리 애를 정신병 있는 애 취급하는 거야?
지나간 사람 진하게 뿌렸냐,방금 지나간 사람 향수 왜이리 진하게 뿌렸냐
"헐, 너걸로 풀어서 그런가 보다","헐, 너 먹는걸로 스트레스 풀어서 그런가 보다"
박살난 여주 캐스팅 때문이지.,시청률 박살난 거 다 여주 캐스팅 때문이지.
,어이가 없다 진짜
님은 없는게 할 없는 거고요,님은 어이가 없는게 아니라 할 말이 없는 거고요
임신하면 뇌손상대,임신하면 뇌손상 올 수도 있대
"와, 사이에서 나온는 얼마나쁠까?","와, 둘 사이에서 나온 아기는 얼마나 예쁠까?"
엄마한테 맛없할까?,엄마한테 가서 맛없었다고 얘기할까?
##거땟냐?,소개팅 갔다온거 어땟냐?
##도 좀 해줘라.,남자 입장도 생각 좀 해줘라.
내 남친한테 자연스럽게십하면 나같아도꼽게 것 같긴 함,내 남친한테 자연스럽게 스킨십하면 나같아도 아니꼽게 볼 것 같긴 함
"##범이면 됐지, 스토리는 따져?","진범이면 됐지, 스토리는 왜 따져?"
생각 있는 부모라면 대학려고 안한다,요새는 생각 있는 부모라면 대학 보내려고 안한다
동남아 혼혈 애들졌,요새 동남아 혼혈 애들 많아졌던데
##들은가 없다 ㄹㅇ,요즘 예능들은 재미가 없다 ㄹㅇ
가다간 [UNK] 한테 먹,이대로 가다간 [UNK]한테 먹힌다
##대라고 다 줄 아냐?,지방대라고 다 별로인 줄 아냐?
##샌 공중파보다 케이블이이 더네,요샌 공중파보다 케이블이 시청률이 더 높네
맞네ㅋㅋ 박쥐 먹지 말은 입도 못하잖아,맞네ㅋㅋ 박쥐 먹지 말라는 말은 입도 뻥긋 못하잖아
##딩들이 무슨 소설 볼 거 같아,여고딩들이 평소에 무슨 소설 볼 거 같아?
##보 걔네,팬픽보잖아 걔네
##길래,무슨 내용이길래?
[UNK] 안기는 했어도 모르는 거 아님?,[UNK]이미지가 안 좋기는 했어도 아직 모르는 거 아님?
대출광고 김미영장다 ㅋㅋㅋㅋ,대출광고 김미영팀장 잡혔다더라 ㅋㅋㅋㅋ
##년 살아왔던데,쟤는 2008년부터 살아왔던데
버얼 유튜버졌다,요즘 버츄얼 유튜버 많아졌다
남자 잡은 거 봐ㅋㅋㅋㅋ,이 남자 컨셉 잡은 거 봐ㅋㅋㅋㅋ 웃김
,아 다리 아파
##기,진짜 나가기 싫은데
알고보면 일본 역사에 식민지 찬양대.,알고보면 일본 역사 교과서에 식민지 찬양같은거 없대.
반일선동 할려고 왜곡보도,누가 반일선동 할려고 왜곡보도한건가?
얼마 어머니순 잔치를 했어,얼마 전에 우리 어머니 예순 잔치를 했어
어머니가순 살이 되셨?,어머니가 벌써 예순 살이 되셨어?
지금 폐경기라고 어머니를 거야,지금 폐경기라고 우리 어머니를 비하하는 거야?
이가고 싶다 생각을 하는 것 자체가 문제지.,이 와중에 여행가고 싶다는 생각을 하는 것 자체가 문제지.
범,범 내려 왔냐?
개 식용 금지 하라고 장사 접으라는 소리냐고 상인 났노,개 식용 금지 하라고 하니깐 장사 접으라는 소리냐고 상인들 난리 났노
대구시장에 개시장도하게 손님하나 없더라,대구 북구 칠성시장에 개시장도 한적하게 손님하나 없더라
난O가 미래에서 왔다가 걸리는머신이라고,난 UFO가 미래에서 왔다가 걸리는 타임머신이라고 생각해
##을 하는거지,무단횡단을 왜 하는거지?
나 요새 살 되게 많이 빠졌다? [UNK] 되게 것,나 요새 살 되게 많이 빠졌다? [UNK] 되게 효과 좋은 것 같아
##들이 넘쳐나네,요즘 무슨 음모론들이 넘쳐나네
이 외국 나가서로그도 찍으면 안 외국 사는 우리나라 사람들도 컨텐츠 만들면 안 됨 ㅋ,이 논리면 외국 나가서 브이로그도 찍으면 안 되고 외국 사는 우리나라 사람들도 컨텐츠 만들면 안 됨 ㅋ
민주당 서울시 또 성추행으로했네,민주당 서울시 의원 또 성추행으로 탈당했네.
전에 햄버거 사줬더니 여자도 밥겠다,전에 햄버거 사줬더니 그 여자도 밥 사주겠다더라
허벅지가,허벅지가 아프다.
##들이? 그럼 찍혀서 받는 거 아닌가?,차들이? 그럼 카메라 찍혀서 벌금 받는 거 아닌가?
아니 사람들.. 진짜 어디서 튀어나올 너무더라,아니 사람들.. 진짜 어디서 튀어나올지 몰라서 너무 무섭더라
그러니까 주민들도 몇 번이나 없애려고했는데 계속 관광객이니까 없애기가 쉽지다나봐,그러니까 주민들도 몇 번이나 없애려고했는데 계속 관광객이 와서 붙이니까 없애기가 쉽지않다나봐
[UNK] [UNK] 입으로 패 봤어?,[UNK] 가 [UNK] 입으로 패는 영상 봤어?
패션의지.. 보이지도 않는데 그리고 남 그만,패션의 자유지 ..보이지도 않는데 그리고 남 그만 쳐다봐
가서 말해봐라 너 바로 경찰서에서 쇠랑 철철임,가서 말해봐라 너 바로 경찰서에서 쇠고랑 철컹철컹임
,매일매일 힘들다.
,그러게 말이야.
,뭐라고 하게?
##이 안되니 돈.,취업이 안되니 돈 없어.
참 못났다 정말 못,참 못났다 정말 못났어.
장애인이라고 처지인,장애인이라고 불쌍한 처지인 건 아니야
여친이살인야하나?,여친이 34살인데 헤어져야하나?
##이 쉽,이혼이 쉽냐?
[UNK] 보고 주말 드라마냐? 방송사가야?,[UNK] 보고 싶은데 이거 주말 드라마냐? 방송사가 어디야?
이다영이리없어 전부,이다영이 그럴리없어 이건 전부 모함
사기것 때문에,이번에 사기당한것 때문에?
나 15한 거 봐줄?,나 15키로 감량한 거 봐줄 사람?
,네 의견이 궁금해
,후 일이나 하자
,진짜 너무 짜증나
"자,에다 서로 편지를 쓰도록 해","자, 이 종이에다 서로 편지를 쓰도록 해 보자"
##해 보렴 너에게점이 있을거야.,잘생각해 보렴 너에게 좋은점이 많이 있을거야.
##이 많아보여서 큰거준거야,너에게 좋은 장점이 많아보여서 큰거준거야
다른긴 영 다르긴하네요. 이숙것어요.,다른긴 영 다르긴하네요.나는 이숙제 못하것어요.
##학 더한것도 줄지.,정학아니라 더한것도 줄수있지.
##은 다 너라고 시키는,선생님은 다 너 잘되라고 시키는거야
##들도 하니까. 너두군말말고 해라,다른친구들도 하니까. 너두군말말고 해라
##까 그렇지 뭐,관리를 안하니까 그렇지 뭐
백종원 너무하지? 어떻게 다?,백종원 너무 대단하지 않아? 어떻게 다 잘하지?
요즘로 돈 사람 많더라,요즘 배달로 돈 버는 사람 엄청 많더라
한 번까?,한 번 배달 일 해볼까?
,오늘부터 금연하려고
##은 못해 망정나 퍼붓냐?,응원은 못해줄 망정 저주나 퍼붓냐?
개총싸들 부럽,개총했는데 인싸들 부럽더라
야 니친 또다며?,야 니 전여친 남자 또 바꼈다며?
군대를 군캉스 부르는 여자들 생각함,군대를 군캉스라고 부르는 여자들 어떻게 생각함?
##하기 전에는 진지하게 해보고 하는 법 좀 배워야 할 것 같아,말하기 전에는 진지하게 생각 해보고 이야기 하는 법 좀 배워야 할 것 같아
"응, 그 3년겼다는 친구?첩장도 받았다","응, 그 3년 사겼다는 친구? 청첩장도 받았다며"
근데 신혼집에서 그 딴 여자랑 바람펴서 파혼,근데 신혼집에서 그 남친이 딴 여자랑 바람펴서 파혼했어
,뭐라고?
##하고 싶다.,ㄴㄴ 얼른 전역하고 싶다.
아니야 난민들이 살기 수도,아니야 오히려 난민들이 살기 힘들 수도 있어
,저기요 아줌마
뭐라구요? 아줌마 내가봐서 아줌마로 보여요,뭐라구요? 아줌마? 내가 어딜봐서 아줌마로 보여요?
내가 박을때까지요,내가 박을때까지 뭐하고 있었어요?
아 그래서 인성이 거,아 그래서 내 인성이 훌륭한 거구나
먹을래? 아니면 따뜻한라도 줄까?,단 거 먹을래? 아니면 따뜻한 우유라도 줄까?
뭐 남자 좋아하잖아,뭐 우리도 잘생긴 남자 좋아하잖아
뭔 행패야 없이,뭔 행패야 아무 근거도 없이
##장애 진짜 병이고,공황장애는 진짜 심각한 병이고
야 너 자한다는 거 소문 다 났,야 너 이번에 자퇴한다는 거 소문 다 났어
,워터파크가자
너가 뭔데 한물,너가 뭔데 한물갔다 말하냐
하고,나도 유튜브 하고 싶다
한 번해주 안 될까요?,한 번만 유예해주시면 안 될까요?
입만 열만 패드 치는 대체?,입만 열만 패드립 치는 인간들은 대체 뭐임?
부모님 안계시는 지금는거야?,나 부모님 안계시는데 지금 비꼬는거야?
애인이랑서해,나 애인이랑 헤어져서 속상해
이쁘지 않음 진짜 볼 때마다 너무,[UNK] 이쁘지 않음? 진짜 볼 때마다 너무 이뻐
##는 재미있었겠지?,그래도 그 시절에는 재미있었겠지?
##들이 [UNK] 와서 사고쳐서 그런다고 듯?,관광객들이 자꾸 [UNK]와서 사고쳐서 그런다고 들은 듯?
저은이 엄청 두껍네,저 연예인은 입술이 엄청 두껍네.
난민한테 다른 이름 붙이 갑자기 손님 대접 줘야 돼,난민한테 다른 이름 붙이면 갑자기 손님 대접해 줘야 돼?
,뭐든지 정당해야지
국격 추락 년냐,국격 추락이 몇 년째냐
김씨 거지,김씨 말하는 거지?
너 오늘시까지 뒤으로 나와라,너 오늘 8시까지 학교 뒤 주차장으로 나와라
[UNK]한대,[UNK] 활동 중지한대
여자가 남자 왔?,여자가 좋아하는 남자 인터뷰 왔어?
선생님이 나한테 완전했어 너무서나,선생님이 나한테 완전 폭언했어 너무 슬퍼서 눈물나
그 성관계 동영상이 유포돼서 자살,그 연예인 성관계 동영상이 유포돼서 자살했대
##에질좀 그만해라,사이트에 사진 도배질좀 그만해라
##갈?,오늘 클럽갈래?
여친 임신 거지,여친 임신한 거 같은데 어쩌지
,너무 화가난다
,무슨 일인데?
##하는 사람인가봐,저사람 방송하는 사람인가봐
아 ㅋㅋ 맞네 내가생각했네 근데 반응 보니까 다 꼴,아 ㅋㅋ 맞네 내가 잘못생각했네 근데 반응 보니까 다 꼴 좋다던데
